symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,913777.57,-86222.43000000005,-8.622243000000005,0.0,68.332
KQ.m@SHFE.cu,1000000.0,972316.7550000013,-27683.244999998715,-2.7683244999998715,-15000.0,97.88
KQ.m@SHFE.al,1000000.0,1112568.0,112568.0,11.2568,-4600.0,48.0
KQ.m@SHFE.zn,1000000.0,987826.0,-12174.0,-1.2174,-6825.0,39.0
KQ.m@SHFE.pb,1000000.0,973529.2010000007,-26470.7989999993,-2.64707989999993,-800.0,26.832
KQ.m@SHFE.ni,1000000.0,969244.0,-30756.0,-3.0755999999999997,-4720.0,24.0
KQ.m@SHFE.sn,1000000.0,1119258.0,119258.0,11.9258,-17020.0,12.0
KQ.m@SHFE.au,1000000.0,1334170.0000000037,334170.0000000037,33.41700000000037,-3240.000000000009,20.0
KQ.m@SHFE.ag,1000000.0,670212.704500001,-329787.29549999896,-32.9787295499999,0.0,0.0
KQ.m@SHFE.ru,1000000.0,982335.2999999985,-17664.700000001467,-1.7664700000001465,0.0,0.0
KQ.m@SHFE.fu,1000000.0,785798.9210000002,-214201.0789999998,-21.42010789999998,-85050.0,62.681999999999995
KQ.m@SHFE.bu,1000000.0,475691.84699999914,-524308.1530000009,-52.43081530000009,-26320.0,65.616
KQ.m@SHFE.hc,1000000.0,948454.172000001,-51545.82799999905,-5.154582799999905,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1014172.5420000004,14172.542000000365,1.4172542000000365,0.0,0.0
KQ.m@SHFE.ss,1000000.0,996042.7599999986,-3957.2400000013877,-0.39572400000013874,-875.0,71.6
KQ.m@DCE.i,1000000.0,1061362.09,61362.090000000084,6.136209000000008,0.0,0.0
KQ.m@DCE.j,1000000.0,973133.7380000004,-26866.26199999964,-2.6866261999999637,-6000.0,60.372
KQ.m@DCE.jm,1000000.0,3014031.9099999997,2014031.9099999997,201.40319099999994,0.0,0.0
KQ.m@DCE.a,1000000.0,910614.0,-89386.0,-8.9386,0.0,0.0
KQ.m@DCE.b,1000000.0,941527.0,-58473.0,-5.8473,0.0,0.0
KQ.m@DCE.m,1000000.0,974569.5,-25430.5,-2.54305,0.0,0.0
KQ.m@DCE.y,1000000.0,1007920.0,7920.0,0.792,0.0,0.0
KQ.m@DCE.p,1000000.0,1047165.0,47165.0,4.7165,0.0,22.5
KQ.m@DCE.c,1000000.0,963835.1999999998,-36164.80000000016,-3.616480000000016,0.0,0.0
KQ.m@DCE.cs,1000000.0,1012806.5,12806.5,1.28065,0.0,0.0
KQ.m@DCE.l,1000000.0,609299.0,-390701.0,-39.070100000000004,0.0,0.0
KQ.m@DCE.v,1000000.0,1254420.0,254420.0,25.441999999999997,0.0,0.0
KQ.m@DCE.pp,1000000.0,798496.4081,-201503.5919,-20.15035919,0.0,37.5774
KQ.m@DCE.eg,1000000.0,931706.0,-68294.0,-6.8294,0.0,0.0
KQ.m@DCE.eb,1000000.0,1019990.0,19990.0,1.999,0.0,0.0
KQ.m@DCE.pg,1000000.0,954448.0,-45552.0,-4.5552,0.0,0.0
KQ.m@DCE.jd,1000000.0,1033403.3600000006,33403.36000000057,3.340336000000057,0.0,0.0
KQ.m@DCE.lh,1000000.0,851078.2080000013,-148921.79199999874,-14.892179199999875,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1031329.0,31329.0,3.1329000000000002,0.0,0.0
KQ.m@CZCE.CF,1000000.0,926890.7999999993,-73109.20000000065,-7.310920000000065,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1320798.0,320798.0,32.079800000000006,0.0,0.0
KQ.m@CZCE.MA,1000000.0,199434.0,-800566.0,-80.0566,0.0,0.0
KQ.m@CZCE.FG,1000000.0,849603.0,-150397.0,-15.0397,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1054617.0,54617.0,5.4616999999999996,0.0,0.0
KQ.m@CZCE.OI,1000000.0,959094.0,-40906.0,-4.0906,0.0,0.0
KQ.m@CZCE.SM,1000000.0,894062.0,-105938.0,-10.5938,0.0,0.0
KQ.m@CZCE.SF,1000000.0,948599.0,-51401.0,-5.1401,0.0,75.0
KQ.m@CZCE.UR,1000000.0,916540.0,-83460.0,-8.346,0.0,0.0
KQ.m@CZCE.SA,1000000.0,997681.5,-2318.5,-0.23184999999999997,0.0,0.0
KQ.m@CZCE.PK,1000000.0,985180.0,-14820.0,-1.482,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1083560.0,83560.0,8.356,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1036699.0,36699.0,3.6699,0.0,0.0
KQ.m@INE.sc,1000000.0,823679.9999999979,-176320.0000000021,-17.632000000000208,1500.0,40.0
KQ.m@INE.lu,1000000.0,1295924.1231,295924.12309999997,29.59241231,-171580.0,21.830399999999997
KQ.m@CFFEX.IF,1000000.0,880858.7640999972,-119141.23590000276,-11.914123590000276,-35759.99999999994,62.05308
KQ.m@CFFEX.IC,1000000.0,1107774.6792799984,107774.67927999841,10.777467927999842,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,999298.4014000006,-701.5985999994446,-0.07015985999994445,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,862255.0227599894,-137744.97724001063,-13.774497724001064,-36719.99999999989,70.94488
KQ.m@CFFEX.T,1000000.0,1012312.0000000079,12312.000000007916,1.2312000000007917,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,979762.0000000056,-20237.999999994412,-2.0237999999994414,-1049.9999999998977,18.0
KQ.m@CFFEX.TS,1000000.0,999092.0000000009,-907.9999999990687,-0.09079999999990686,0.0,0.0
