symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,966193.8719999962,-33806.12800000375,-3.380612800000375,-460.0,142.32399999999998
KQ.m@SHFE.cu,1000000.0,996382.305000006,-3617.6949999940116,-0.36176949999940117,100.0,196.57999999999998
KQ.m@SHFE.al,1000000.0,932836.0,-67164.0,-6.7164,0.0,0.0
KQ.m@SHFE.zn,1000000.0,981278.0,-18722.0,-1.8721999999999999,-600.0,36.0
KQ.m@SHFE.pb,1000000.0,990470.7139999996,-9529.28600000043,-0.952928600000043,300.0,26.68
KQ.m@SHFE.ni,1000000.0,951886.0,-48114.0,-4.8114,1920.0,24.0
KQ.m@SHFE.sn,1000000.0,947281.0,-52719.0,-5.2719000000000005,-4500.0,21.0
KQ.m@SHFE.au,1000000.0,970510.0000000058,-29489.99999999418,-2.948999999999418,5560.000000000173,70.0
KQ.m@SHFE.ag,1000000.0,794726.4789999926,-205273.5210000074,-20.52735210000074,2400.0,83.727
KQ.m@SHFE.ru,1000000.0,1010646.8279999995,10646.827999999514,1.0646827999999513,0.0,0.0
KQ.m@SHFE.fu,1000000.0,857954.586000002,-142045.413999998,-14.204541399999801,0.0,36.827999999999996
KQ.m@SHFE.bu,1000000.0,1161051.4199999988,161051.41999999876,16.105141999999876,0.0,99.19200000000001
KQ.m@SHFE.hc,1000000.0,971150.4480000003,-28849.551999999676,-2.8849551999999674,-210.0,137.382
KQ.m@SHFE.sp,1000000.0,982454.9920000001,-17545.007999999914,-1.7545007999999913,1920.0,80.256
KQ.m@SHFE.ss,1000000.0,952074.5000000001,-47925.49999999988,-4.792549999999989,500.0,216.525
KQ.m@DCE.i,1000000.0,959611.5,-40388.5,-4.03885,2800.0,372.0
KQ.m@DCE.j,1000000.0,972804.3039999926,-27195.696000007447,-2.7195696000007445,0.0,0.0
KQ.m@DCE.jm,1000000.0,332728.2255999998,-667271.7744000002,-66.72717744000002,0.0,0.0
KQ.m@DCE.a,1000000.0,959134.0,-40866.0,-4.0866,0.0,0.0
KQ.m@DCE.b,1000000.0,956844.0,-43156.0,-4.3156,3150.0,42.0
KQ.m@DCE.m,1000000.0,956480.0,-43520.0,-4.352,0.0,0.0
KQ.m@DCE.y,1000000.0,1010502.5,10502.5,1.05025,0.0,22.5
KQ.m@DCE.p,1000000.0,1016340.0,16340.0,1.6340000000000001,0.0,20.0
KQ.m@DCE.c,1000000.0,955875.2000000031,-44124.7999999969,-4.41247999999969,0.0,0.0
KQ.m@DCE.cs,1000000.0,983806.0000000001,-16193.999999999884,-1.6193999999999882,0.0,0.0
KQ.m@DCE.l,1000000.0,964221.0000000008,-35778.999999999185,-3.577899999999919,-21432.66435986152,212.0
KQ.m@DCE.v,1000000.0,956726.9999999994,-43273.00000000058,-4.327300000000058,-28788.140638275625,484.0
KQ.m@DCE.pp,1000000.0,947874.935000001,-52125.06499999901,-5.212506499999901,-46753.672839506165,184.11
KQ.m@DCE.eg,1000000.0,984289.9999999986,-15710.000000001397,-1.5710000000001396,-51190.625,188.0
KQ.m@DCE.eb,1000000.0,999133.0,-867.0,-0.0867,-14470.0,264.0
KQ.m@DCE.pg,1000000.0,956360.0000000001,-43639.99999999988,-4.363999999999988,0.0,0.0
KQ.m@DCE.jd,1000000.0,910773.1429999993,-89226.85700000066,-8.922685700000066,1540.0,227.898
KQ.m@DCE.lh,1000000.0,897022.0800000024,-102977.9199999976,-10.29779199999976,0.0,0.0
KQ.m@CZCE.SR,1000000.0,988768.0,-11232.0,-1.1232,180.0,108.0
KQ.m@CZCE.CF,1000000.0,984397.9999999972,-15602.000000002794,-1.5602000000002794,0.0,0.0
KQ.m@CZCE.TA,1000000.0,814445.0000000003,-185554.99999999965,-18.555499999999963,-49110.0,258.0
KQ.m@CZCE.MA,1000000.0,756381.9999999999,-243618.00000000012,-24.36180000000001,-143320.5742701055,520.0
KQ.m@CZCE.FG,1000000.0,893688.0000000002,-106311.99999999977,-10.631199999999977,0.0,0.0
KQ.m@CZCE.RM,1000000.0,967836.9999999999,-32163.000000000116,-3.2163000000000115,0.0,0.0
KQ.m@CZCE.OI,1000000.0,965412.0,-34588.0,-3.4588,0.0,16.0
KQ.m@CZCE.SM,1000000.0,1002354.0,2354.0,0.23540000000000003,520.0,468.0
KQ.m@CZCE.SF,1000000.0,972848.0000000001,-27151.999999999884,-2.7151999999999883,0.0,0.0
KQ.m@CZCE.UR,1000000.0,1038079.9999999999,38079.99999999988,3.8079999999999883,0.0,0.0
KQ.m@CZCE.SA,1000000.0,953613.0,-46387.0,-4.6387,-1620.0,189.0
KQ.m@CZCE.PK,1000000.0,971036.0,-28964.0,-2.8964,0.0,0.0
KQ.m@CZCE.AP,1000000.0,930520.0,-69480.0,-6.948,10480.0,320.0
KQ.m@CZCE.CJ,1000000.0,993524.0,-6476.0,-0.6476,7500.0,135.0
KQ.m@INE.sc,1000000.0,1007899.9999999956,7899.999999995576,0.7899999999995575,0.0,20.0
KQ.m@INE.lu,1000000.0,883808.230400001,-116191.76959999895,-11.619176959999896,390.0,8.370000000000001
KQ.m@CFFEX.IF,1000000.0,1010584.6699000058,10584.6699000058,1.05846699000058,0.0,31.02654
KQ.m@CFFEX.IC,1000000.0,951042.0950799946,-48957.904920005356,-4.895790492000535,0.0,35.62884
KQ.m@CFFEX.IH,1000000.0,985580.0311000012,-14419.968899998814,-1.4419968899998814,0.0,19.7271
KQ.m@CFFEX.IM,1000000.0,1075834.2041200013,75834.20412000129,7.5834204120001285,0.0,35.47244
KQ.m@CFFEX.T,1000000.0,980360.0000000173,-19639.999999982654,-1.9639999999982654,-199.9999999998181,24.0
KQ.m@CFFEX.TF,1000000.0,983194.0000000156,-16805.9999999844,-1.68059999999844,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,991224.000000024,-8775.999999976018,-0.8775999999976019,0.0,0.0
