symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,978280.2559999989,-21719.744000001112,-2.1719744000001113,0.0,74.304
KQ.m@SHFE.cu,1000000.0,933652.1550000004,-66347.84499999962,-6.634784499999963,-2500.0,49.58
KQ.m@SHFE.al,1000000.0,855556.0000000001,-144443.99999999988,-14.444399999999987,0.0,0.0
KQ.m@SHFE.zn,1000000.0,893007.0,-106993.0,-10.699300000000001,-5850.0,36.0
KQ.m@SHFE.pb,1000000.0,964037.8919999994,-35962.10800000059,-3.5962108000000588,0.0,0.0
KQ.m@SHFE.ni,1000000.0,744007.0,-255993.0,-25.599300000000003,-2700.0,18.0
KQ.m@SHFE.sn,1000000.0,857065.0,-142935.0,-14.2935,-12770.0,6.0
KQ.m@SHFE.au,1000000.0,859449.9999999898,-140550.00000001024,-14.055000000001025,-34640.0000000001,20.0
KQ.m@SHFE.ag,1000000.0,1232825.7602500005,232825.76025000052,23.28257602500005,-56520.0,98.00174999999999
KQ.m@SHFE.ru,1000000.0,933356.6124999991,-66643.38750000088,-6.664338750000089,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1510182.2400000019,510182.24000000185,51.01822400000019,0.0,0.0
KQ.m@SHFE.bu,1000000.0,834290.2179999994,-165709.7820000006,-16.57097820000006,0.0,0.0
KQ.m@SHFE.hc,1000000.0,989459.9070000006,-10540.092999999411,-1.054009299999941,0.0,0.0
KQ.m@SHFE.sp,1000000.0,927487.4170000015,-72512.58299999847,-7.251258299999846,-4500.0,74.67
KQ.m@SHFE.ss,1000000.0,921442.0225000001,-78557.97749999992,-7.855797749999992,-2625.0,73.025
KQ.m@DCE.i,1000000.0,985580.3999999994,-14419.600000000559,-1.4419600000000559,0.0,0.0
KQ.m@DCE.j,1000000.0,911514.6300000018,-88485.36999999825,-8.848536999999824,-5700.0,59.076
KQ.m@DCE.jm,1000000.0,677146.8459999914,-322853.1540000086,-32.285315400000854,0.0,0.0
KQ.m@DCE.a,1000000.0,986314.0,-13686.0,-1.3686,0.0,0.0
KQ.m@DCE.b,1000000.0,1044864.0,44864.0,4.4864,0.0,1.0
KQ.m@DCE.m,1000000.0,1038934.5,38934.5,3.8934499999999996,0.0,0.0
KQ.m@DCE.y,1000000.0,935125.0,-64875.0,-6.4875,0.0,0.0
KQ.m@DCE.p,1000000.0,893185.0,-106815.0,-10.6815,0.0,17.5
KQ.m@DCE.c,1000000.0,1013217.6000000006,13217.600000000559,1.3217600000000558,0.0,0.0
KQ.m@DCE.cs,1000000.0,1017645.0,17645.0,1.7645000000000002,0.0,0.0
KQ.m@DCE.l,1000000.0,-224046531.0,-225046531.0,-22504.6531,0.0,0.0
KQ.m@DCE.v,1000000.0,-665836391.0,-666836391.0,-66683.6391,0.0,0.0
KQ.m@DCE.pp,1000000.0,-538571549.4532,-539571549.4532,-53957.15494532,0.0,0.0
KQ.m@DCE.eg,1000000.0,-4763594.0,-5763594.0,-576.3594,0.0,0.0
KQ.m@DCE.eb,1000000.0,1151876.0,151876.0,15.187600000000002,0.0,0.0
KQ.m@DCE.pg,1000000.0,1095396.0,95396.0,9.5396,0.0,0.0
KQ.m@DCE.jd,1000000.0,888954.317500001,-111045.68249999895,-11.104568249999895,0.0,5.2185
KQ.m@DCE.lh,1000000.0,1114415.1680000005,114415.16800000053,11.441516800000052,0.0,0.0
KQ.m@CZCE.SR,1000000.0,989946.0,-10054.0,-1.0054,0.0,0.0
KQ.m@CZCE.CF,1000000.0,918807.2999999995,-81192.70000000054,-8.119270000000053,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,-1177646.0,-2177646.0,-217.76460000000003,0.0,0.0
KQ.m@CZCE.FG,1000000.0,919645.9999999999,-80354.00000000012,-8.035400000000012,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1074697.5,74697.5,7.46975,0.0,0.0
KQ.m@CZCE.OI,1000000.0,916864.0,-83136.0,-8.313600000000001,0.0,0.0
KQ.m@CZCE.SM,1000000.0,830677.0,-169323.0,-16.9323,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1079237.0,79237.0,7.9237,0.0,87.0
KQ.m@CZCE.UR,1000000.0,1032975.0,32975.0,3.2975,5060.0,230.0
KQ.m@CZCE.SA,1000000.0,918397.5,-81602.5,-8.16025,0.0,0.0
KQ.m@CZCE.PK,1000000.0,1022426.0,22426.0,2.2426000000000004,-2890.0,132.0
KQ.m@CZCE.AP,1000000.0,346130.0,-653870.0,-65.387,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,974947.0,-25053.0,-2.5053,0.0,0.0
KQ.m@INE.sc,1000000.0,672420.0000000069,-327579.99999999313,-32.75799999999931,-100000.0,40.0
KQ.m@INE.lu,1000000.0,1938553.003000013,938553.0030000131,93.8553003000013,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,931204.5628000036,-68795.43719999644,-6.879543719999644,-37379.99999999984,63.0936
KQ.m@CFFEX.IC,1000000.0,1193764.7124399992,193764.71243999922,19.37647124399992,-71959.99999999985,71.95136
KQ.m@CFFEX.IH,1000000.0,1011617.8645600005,11617.864560000482,1.1617864560000482,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,1180683.2174399963,180683.2174399963,18.068321743999633,-65399.99999999982,71.76736
KQ.m@CFFEX.T,1000000.0,961936.0000000059,-38063.99999999406,-3.8063999999994063,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,970048.0000000023,-29951.99999999767,-2.995199999999767,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,979912.0000000055,-20087.99999999453,-2.008799999999453,0.0,0.0
