symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,984886.3839999997,-15113.616000000271,-1.511361600000027,-240.0,148.12800000000001
KQ.m@SHFE.cu,1000000.0,969809.3100000027,-30190.689999997267,-3.0190689999997264,-2650.0,51.14
KQ.m@SHFE.al,1000000.0,901179.0,-98821.0,-9.882100000000001,-3300.0,36.0
KQ.m@SHFE.zn,1000000.0,1003592.0,3592.0,0.3592,-6825.0,42.0
KQ.m@SHFE.pb,1000000.0,1001216.1499999996,1216.1499999995576,0.12161499999995577,0.0,0.0
KQ.m@SHFE.ni,1000000.0,965572.0,-34428.0,-3.4428,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1201482.0,201482.0,20.1482,0.0,0.0
KQ.m@SHFE.au,1000000.0,1032330.0000000059,32330.000000005937,3.233000000000594,0.0,0.0
KQ.m@SHFE.ag,1000000.0,1323149.905750001,323149.9057500011,32.31499057500011,-73680.0,221.00625000000002
KQ.m@SHFE.ru,1000000.0,999108.4860000007,-891.513999999268,-0.0891513999999268,0.0,0.0
KQ.m@SHFE.fu,1000000.0,484894.44,-515105.56,-51.510555999999994,-50940.0,38.209
KQ.m@SHFE.bu,1000000.0,885366.1060000005,-114633.8939999995,-11.46338939999995,0.0,8.036
KQ.m@SHFE.hc,1000000.0,970415.9219999986,-29584.078000001376,-2.958407800000138,0.0,0.0
KQ.m@SHFE.sp,1000000.0,926361.5559999996,-73638.44400000037,-7.363844400000037,-3300.0,74.03999999999999
KQ.m@SHFE.ss,1000000.0,1007363.0174999987,7363.0174999986775,0.7363017499998677,-1125.0,74.22500000000001
KQ.m@DCE.i,1000000.0,851635.7899999991,-148364.2100000009,-14.836421000000088,0.0,0.0
KQ.m@DCE.j,1000000.0,1073794.4200000009,73794.42000000086,7.379442000000086,0.0,0.0
KQ.m@DCE.jm,1000000.0,1967833.2904000003,967833.2904000003,96.78332904000003,0.0,0.0
KQ.m@DCE.a,1000000.0,1051302.0,51302.0,5.1302,0.0,0.0
KQ.m@DCE.b,1000000.0,949211.0,-50789.0,-5.0789,0.0,0.0
KQ.m@DCE.m,1000000.0,976986.0,-23014.0,-2.3014,1120.0,84.0
KQ.m@DCE.y,1000000.0,949547.5,-50452.5,-5.045249999999999,-18090.0,45.0
KQ.m@DCE.p,1000000.0,1073327.5,73327.5,7.332750000000001,-270.0,45.0
KQ.m@DCE.c,1000000.0,965912.4000000003,-34087.599999999744,-3.4087599999999747,0.0,0.0
KQ.m@DCE.cs,1000000.0,1017530.0,17530.0,1.7530000000000001,0.0,0.0
KQ.m@DCE.l,1000000.0,1325710.0,325710.0,32.571,0.0,50.0
KQ.m@DCE.v,1000000.0,614982.0,-385018.0,-38.5018,0.0,0.0
KQ.m@DCE.pp,1000000.0,2125253.71,1125253.71,112.52537099999999,0.0,104.42250000000001
KQ.m@DCE.eg,1000000.0,2459292.0,1459292.0,145.9292,0.0,156.0
KQ.m@DCE.eb,1000000.0,1065978.0,65978.0,6.597799999999999,-20280.0,282.0
KQ.m@DCE.pg,1000000.0,937704.0,-62296.0,-6.2296,-180.0,6.0
KQ.m@DCE.jd,1000000.0,1101790.8880000003,101790.88800000027,10.179088800000027,0.0,0.0
KQ.m@DCE.lh,1000000.0,959837.2480000005,-40162.75199999951,-4.016275199999951,0.0,0.0
KQ.m@CZCE.SR,1000000.0,944817.0,-55183.0,-5.5183,0.0,0.0
KQ.m@CZCE.CF,1000000.0,945920.7999999993,-54079.20000000065,-5.407920000000066,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1304553.0,304553.0,30.4553,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1013934.0,13934.0,1.3934,0.0,0.0
KQ.m@CZCE.FG,1000000.0,1086862.0,86862.0,8.6862,0.0,0.0
KQ.m@CZCE.RM,1000000.0,863669.0,-136331.0,-13.6331,0.0,0.0
KQ.m@CZCE.OI,1000000.0,845842.0,-154158.0,-15.415799999999999,0.0,0.0
KQ.m@CZCE.SM,1000000.0,1056354.0,56354.0,5.6354,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1034461.0,34461.0,3.4461,-9650.0,183.0
KQ.m@CZCE.UR,1000000.0,920210.0,-79790.0,-7.979,0.0,0.0
KQ.m@CZCE.SA,1000000.0,890678.5,-109321.5,-10.93215,0.0,0.0
KQ.m@CZCE.PK,1000000.0,1001842.0,1842.0,0.1842,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1075520.0,75520.0,7.5520000000000005,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1030657.0,30657.0,3.0657,0.0,0.0
KQ.m@INE.sc,1000000.0,1399140.0000000002,399140.00000000023,39.91400000000002,0.0,0.0
KQ.m@INE.lu,1000000.0,972559.3384000006,-27440.66159999941,-2.744066159999941,-126820.0,15.746500000000001
KQ.m@CFFEX.IF,1000000.0,1024149.6197799993,24149.61977999925,2.414961977999925,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,752177.1048799972,-247822.8951200028,-24.78228951200028,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1014896.7467799995,14896.746779999463,1.4896746779999464,-12839.999999999918,40.16352
KQ.m@CFFEX.IM,1000000.0,1060658.013519997,60658.01351999701,6.065801351999701,0.0,0.0
KQ.m@CFFEX.T,1000000.0,1004560.0000000062,4560.00000000617,0.456000000000617,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,1004470.0000000027,4470.000000002678,0.44700000000026774,-1049.9999999998977,18.0
KQ.m@CFFEX.TS,1000000.0,1005615.9999999976,5615.999999997555,0.5615999999997555,0.0,0.0
