symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,993492.3039999985,-6507.69600000151,-0.6507696000001509,-240.0,148.12800000000001
KQ.m@SHFE.cu,1000000.0,998997.7400000045,-1002.2599999954691,-0.10022599999954691,3000.0,51.14
KQ.m@SHFE.al,1000000.0,960498.0,-39502.0,-3.9502,0.0,0.0
KQ.m@SHFE.zn,1000000.0,962122.0,-37878.0,-3.7878000000000003,4200.0,36.0
KQ.m@SHFE.pb,1000000.0,967801.3199999987,-32198.68000000133,-3.219868000000133,0.0,0.0
KQ.m@SHFE.ni,1000000.0,1055508.0,55508.0,5.550800000000001,0.0,0.0
KQ.m@SHFE.sn,1000000.0,772009.0,-227991.0,-22.7991,-3420.0,6.0
KQ.m@SHFE.au,1000000.0,728509.9999999964,-271490.0000000036,-27.149000000000363,0.0,0.0
KQ.m@SHFE.ag,1000000.0,811185.5334999976,-188814.46650000243,-18.881446650000242,0.0,0.0
KQ.m@SHFE.ru,1000000.0,935515.292000002,-64484.707999998005,-6.4484707999998,2400.0,59.832
KQ.m@SHFE.fu,1000000.0,1703093.6510000015,703093.6510000015,70.30936510000015,0.0,0.0
KQ.m@SHFE.bu,1000000.0,868341.8419999998,-131658.15800000017,-13.165815800000017,0.0,0.0
KQ.m@SHFE.hc,1000000.0,991690.7939999958,-8309.206000004197,-0.8309206000004196,-1050.0,138.012
KQ.m@SHFE.sp,1000000.0,1035189.1320000018,35189.132000001846,3.5189132000001844,0.0,0.0
KQ.m@SHFE.ss,1000000.0,1053792.799999998,53792.79999999795,5.3792799999997944,450.0,89.07000000000001
KQ.m@DCE.i,1000000.0,1051860.5000000014,51860.5000000014,5.18605000000014,0.0,0.0
KQ.m@DCE.j,1000000.0,1016428.468,16428.467999999993,1.6428467999999994,0.0,0.0
KQ.m@DCE.jm,1000000.0,548452.6959999992,-451547.3040000008,-45.15473040000008,0.0,329.86799999999994
KQ.m@DCE.a,1000000.0,904846.0,-95154.0,-9.5154,0.0,0.0
KQ.m@DCE.b,1000000.0,977367.0,-22633.0,-2.2633,-1890.0,42.0
KQ.m@DCE.m,1000000.0,917471.5,-82528.5,-8.25285,0.0,0.0
KQ.m@DCE.y,1000000.0,937740.0,-62260.0,-6.226,0.0,0.0
KQ.m@DCE.p,1000000.0,896482.5,-103517.5,-10.35175,22610.0,70.0
KQ.m@DCE.c,1000000.0,1039915.2000000018,39915.200000001816,3.9915200000001816,-740.0,88.8
KQ.m@DCE.cs,1000000.0,1048408.5,48408.5,4.84085,-30.0,1.5
KQ.m@DCE.l,1000000.0,406999.0,-593001.0,-59.3001,0.0,0.0
KQ.m@DCE.v,1000000.0,1317758.0,317758.0,31.775799999999997,0.0,0.0
KQ.m@DCE.pp,1000000.0,471889.77,-528110.23,-52.811023,0.0,0.0
KQ.m@DCE.eg,1000000.0,1165134.0,165134.0,16.5134,0.0,0.0
KQ.m@DCE.eb,1000000.0,935471.0,-64529.0,-6.4529000000000005,0.0,0.0
KQ.m@DCE.pg,1000000.0,836504.0,-163496.0,-16.3496,0.0,0.0
KQ.m@DCE.jd,1000000.0,1046299.1810000008,46299.1810000008,4.62991810000008,0.0,0.0
KQ.m@DCE.lh,1000000.0,851875.5840000005,-148124.4159999995,-14.812441599999952,0.0,0.0
KQ.m@CZCE.SR,1000000.0,970218.0,-29782.0,-2.9781999999999997,1700.0,105.0
KQ.m@CZCE.CF,1000000.0,1095540.9999999958,95540.99999999581,9.55409999999958,0.0,0.0
KQ.m@CZCE.TA,1000000.0,613486.0,-386514.0,-38.6514,0.0,0.0
KQ.m@CZCE.MA,1000000.0,739272.0,-260728.0,-26.0728,0.0,0.0
KQ.m@CZCE.FG,1000000.0,928103.0,-71897.0,-7.1897,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1006834.5,6834.5,0.68345,-3330.0,111.0
