symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,981072.3060000001,-18927.6939999999,-1.8927693999999902,-2160.0,149.76
KQ.m@SHFE.cu,1000000.0,986217.4875000012,-13782.51249999879,-1.378251249999879,0.0,25.5825
KQ.m@SHFE.al,1000000.0,996654.0,-3346.0,-0.3346,-2975.0,21.0
KQ.m@SHFE.zn,1000000.0,952594.0,-47406.0,-4.7406,1650.0,36.0
KQ.m@SHFE.pb,1000000.0,989469.0099999997,-10530.99000000034,-1.053099000000034,0.0,13.472
KQ.m@SHFE.ni,1000000.0,1001048.0,1048.0,0.1048,-6240.0,24.0
KQ.m@SHFE.sn,1000000.0,919677.0,-80323.0,-8.032300000000001,0.0,3.0
KQ.m@SHFE.au,1000000.0,1022269.9999999995,22269.999999999534,2.2269999999999532,-4680.000000000064,30.0
KQ.m@SHFE.ag,1000000.0,915753.8349999993,-84246.16500000074,-8.424616500000074,-840.0,89.1135
KQ.m@SHFE.ru,1000000.0,956618.9079999996,-43381.09200000041,-4.338109200000042,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1042866.0259999998,42866.02599999984,4.286602599999983,0.0,42.168
KQ.m@SHFE.bu,1000000.0,1055029.572,55029.57199999993,5.502957199999993,0.0,85.25999999999999
KQ.m@SHFE.hc,1000000.0,987960.6079999998,-12039.392000000225,-1.2039392000000224,0.0,0.0
KQ.m@SHFE.sp,1000000.0,984324.896,-15675.10400000005,-1.567510400000005,-8320.0,79.424
KQ.m@SHFE.ss,1000000.0,994447.6099999996,-5552.390000000363,-0.5552390000000363,0.0,0.0
KQ.m@DCE.i,1000000.0,977613.5200000013,-22386.4799999987,-2.23864799999987,0.0,64.08
KQ.m@DCE.j,1000000.0,989005.5699999991,-10994.430000000866,-1.0994430000000868,0.0,0.0
KQ.m@DCE.jm,1000000.0,606566.2432000008,-393433.75679999916,-39.343375679999916,0.0,0.0
KQ.m@DCE.a,1000000.0,1023236.0,23236.0,2.3236,0.0,36.0
KQ.m@DCE.b,1000000.0,974394.0,-25606.0,-2.5606,0.0,22.0
KQ.m@DCE.m,1000000.0,981102.0,-18898.0,-1.8898000000000001,0.0,0.0
KQ.m@DCE.y,1000000.0,991842.5,-8157.5,-0.81575,0.0,22.5
KQ.m@DCE.p,1000000.0,977435.0,-22565.0,-2.2565,0.0,20.0
KQ.m@DCE.c,1000000.0,968926.8,-31073.199999999953,-3.107319999999995,0.0,0.0
KQ.m@DCE.cs,1000000.0,977143.0,-22857.0,-2.2857,0.0,0.0
KQ.m@DCE.l,1000000.0,952087.0,-47913.0,-4.7913,-13775.0,38.0
KQ.m@DCE.v,1000000.0,771414.0,-228586.0,-22.858600000000003,0.0,50.0
KQ.m@DCE.pp,1000000.0,486203.52599999966,-513796.47400000034,-51.37964740000004,-1960.0,21.468
KQ.m@DCE.eg,1000000.0,1004502.0,4502.0,0.4502,-76800.0,60.0
KQ.m@DCE.eb,1000000.0,983212.0,-16788.0,-1.6788,0.0,126.0
KQ.m@DCE.pg,1000000.0,977520.0,-22480.0,-2.248,0.0,0.0
KQ.m@DCE.jd,1000000.0,980311.8460000004,-19688.15399999963,-1.9688153999999631,0.0,0.0
KQ.m@DCE.lh,1000000.0,1020496.0000000005,20496.000000000466,2.0496000000000465,0.0,0.0
KQ.m@CZCE.SR,1000000.0,949147.0,-50853.0,-5.0853,0.0,51.0
KQ.m@CZCE.CF,1000000.0,952383.5999999996,-47616.40000000037,-4.761640000000037,-2750.0,86.0
KQ.m@CZCE.TA,1000000.0,1273123.0,273123.0,27.3123,0.0,99.0
KQ.m@CZCE.MA,1000000.0,1314606.0,314606.0,31.4606,2050.0,82.0
KQ.m@CZCE.FG,1000000.0,979152.0,-20848.0,-2.0848,0.0,0.0
KQ.m@CZCE.RM,1000000.0,987219.0,-12781.0,-1.2781,0.0,0.0
KQ.m@CZCE.OI,1000000.0,999416.0,-584.0,-0.0584,0.0,16.0
KQ.m@CZCE.SM,1000000.0,995046.0,-4954.0,-0.4954,0.0,78.0
KQ.m@CZCE.SF,1000000.0,979208.0,-20792.0,-2.0792,0.0,0.0
KQ.m@CZCE.UR,1000000.0,930400.0,-69600.0,-6.959999999999999,-7200.0,100.0
KQ.m@CZCE.SA,1000000.0,1010624.0,10624.0,1.0624,0.0,0.0
KQ.m@CZCE.PK,1000000.0,982950.0,-17050.0,-1.7049999999999998,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1050860.0,50860.0,5.086,4320.0,180.0
KQ.m@CZCE.CJ,1000000.0,1004547.0,4547.0,0.4547,-8250.0,45.0
KQ.m@INE.sc,1000000.0,880539.9999999997,-119460.00000000035,-11.946000000000033,0.0,20.0
