symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,965049.0499999991,-34950.950000000885,-3.4950950000000884,920.0,214.52100000000002
KQ.m@SHFE.cu,1000000.0,986458.997500001,-13541.002499999013,-1.3541002499999013,-6100.0,153.495
KQ.m@SHFE.al,1000000.0,924029.0,-75971.0,-7.597099999999999,-4050.0,18.0
KQ.m@SHFE.zn,1000000.0,987392.0,-12608.0,-1.2608,-6825.0,39.0
KQ.m@SHFE.pb,1000000.0,995904.4580000001,-4095.5419999998994,-0.40955419999998993,0.0,0.0
KQ.m@SHFE.ni,1000000.0,850834.0,-149166.0,-14.916599999999999,0.0,0.0
KQ.m@SHFE.sn,1000000.0,988115.0,-11885.0,-1.1885,0.0,3.0
KQ.m@SHFE.au,1000000.0,1120430.0,120430.0,12.043,-34640.0000000001,20.0
KQ.m@SHFE.ag,1000000.0,996700.001500001,-3299.9984999990556,-0.32999984999990556,0.0,29.7045
KQ.m@SHFE.ru,1000000.0,966978.5719999995,-33021.42800000054,-3.302142800000054,0.0,0.0
KQ.m@SHFE.fu,1000000.0,746362.1920000007,-253637.80799999926,-25.363780799999923,-84900.0,30.12
KQ.m@SHFE.bu,1000000.0,946168.3520000008,-53831.64799999923,-5.383164799999923,0.0,0.0
KQ.m@SHFE.hc,1000000.0,936481.527999999,-63518.472000001,-6.351847200000099,0.0,0.0
KQ.m@SHFE.sp,1000000.0,943138.5680000004,-56861.431999999564,-5.6861431999999565,0.0,0.0
KQ.m@SHFE.ss,1000000.0,932748.0,-67252.0,-6.725200000000001,0.0,0.0
KQ.m@DCE.i,1000000.0,937023.7200000014,-62976.27999999863,-6.297627999999864,0.0,0.0
KQ.m@DCE.j,1000000.0,969802.7949999984,-30197.205000001588,-3.0197205000001586,0.0,0.0
KQ.m@DCE.jm,1000000.0,853896.2752,-146103.72479999997,-14.610372479999997,0.0,0.0
KQ.m@DCE.a,1000000.0,1032896.0,32896.0,3.2896,0.0,36.0
KQ.m@DCE.b,1000000.0,1052835.0,52835.0,5.2835,0.0,0.0
KQ.m@DCE.m,1000000.0,1023618.0,23618.0,2.3618,0.0,0.0
KQ.m@DCE.y,1000000.0,985847.5,-14152.5,-1.4152500000000001,-18090.0,45.0
KQ.m@DCE.p,1000000.0,979540.0,-20460.0,-2.046,0.0,20.0
KQ.m@DCE.c,1000000.0,957300.0,-42700.0,-4.2700000000000005,0.0,0.0
KQ.m@DCE.cs,1000000.0,951574.0,-48426.0,-4.8426,-1120.0,42.0
KQ.m@DCE.l,1000000.0,849191.0,-150809.0,-15.0809,-71200.0,32.0
KQ.m@DCE.v,1000000.0,931501.0,-68499.0,-6.849900000000001,-41035.0,116.0
KQ.m@DCE.pp,1000000.0,936920.452,-63079.54799999995,-6.307954799999996,0.0,0.0
KQ.m@DCE.eg,1000000.0,801534.0,-198466.0,-19.8466,-61440.0,48.0
KQ.m@DCE.eb,1000000.0,956605.0,-43395.0,-4.3395,0.0,120.0
KQ.m@DCE.pg,1000000.0,1005708.0,5708.0,0.5708000000000001,0.0,0.0
KQ.m@DCE.jd,1000000.0,998891.2260000008,-1108.7739999991609,-0.1108773999999161,0.0,0.0
KQ.m@DCE.lh,1000000.0,1075720.0000000005,75720.00000000047,7.572000000000047,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1018854.0,18854.0,1.8854,0.0,0.0
KQ.m@CZCE.CF,1000000.0,955266.1999999993,-44733.800000000745,-4.473380000000074,0.0,0.0
KQ.m@CZCE.TA,1000000.0,843756.0,-156244.0,-15.6244,-52710.0,63.0
KQ.m@CZCE.MA,1000000.0,977258.0,-22742.0,-2.2742,0.0,0.0
KQ.m@CZCE.FG,1000000.0,1029922.0,29922.0,2.9922,-16720.0,114.0
KQ.m@CZCE.RM,1000000.0,992655.0,-7345.0,-0.7345,0.0,0.0
KQ.m@CZCE.OI,1000000.0,947784.0,-52216.0,-5.2216,0.0,0.0
KQ.m@CZCE.SM,1000000.0,963778.0,-36222.0,-3.6222,0.0,0.0
KQ.m@CZCE.SF,1000000.0,937658.0,-62342.0,-6.2342,0.0,0.0
KQ.m@CZCE.UR,1000000.0,925340.0,-74660.0,-7.466,0.0,0.0
KQ.m@CZCE.SA,1000000.0,988089.5,-11910.5,-1.19105,0.0,0.0
KQ.m@CZCE.PK,1000000.0,1001856.0,1856.0,0.1856,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1016660.0,16660.0,1.6660000000000001,0.0,0.0
