symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,977715.4720000001,977715.4720000001,0.0,0.0,0.0,0.0
KQ.m@SHFE.cu,894441.6600000011,894866.0775000011,424.4174999999814,0.04745055144233564,0.0,25.5825
KQ.m@SHFE.al,1006895.0,1006895.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.zn,1060541.0,1060541.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.pb,974127.808,974127.808,0.0,0.0,0.0,0.0
KQ.m@SHFE.ni,821392.0,821392.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.sn,1065944.0,1069792.0,3848.0,0.3609945738237656,-2000.0,12.0
KQ.m@SHFE.au,1019320.0000000014,1022010.0000000017,2690.0000000003492,0.26390142447909837,0.0,10.0
KQ.m@SHFE.ag,1100918.0927500008,1117793.9792500008,16875.886500000022,1.5328921026127817,10170.0,89.1135
KQ.m@SHFE.ru,926408.6139999995,920178.5719999995,-6230.042000000016,-0.6724939627990139,-6200.0,30.042
KQ.m@SHFE.fu,991307.4900000008,896915.2020000009,-94392.28799999994,-9.521998870400935,-102060.0,72.288
KQ.m@SHFE.bu,981718.7840000008,990284.5040000009,8565.720000000088,0.8725227773578061,2520.0,154.27999999999997
KQ.m@SHFE.hc,988803.1359999999,988803.1359999999,0.0,0.0,0.0,0.0
KQ.m@SHFE.sp,959618.1700000004,958418.1700000004,-1200.0,-0.1250497372303819,0.0,0.0
KQ.m@SHFE.ss,973622.6699999999,973622.6699999999,0.0,0.0,0.0,0.0
KQ.m@DCE.i,1062629.1,1070229.1,7600.0,0.7152072157632422,0.0,0.0
KQ.m@DCE.j,910969.4649999981,904788.909999998,-6180.555000000051,-0.6784590743664568,-6150.0,30.555
KQ.m@DCE.jm,372488.2527999998,363237.7503999998,-9250.502399999998,-2.483434666855621,-9180.0,70.5024
KQ.m@DCE.a,1061044.0,1061044.0,0.0,0.0,0.0,0.0
KQ.m@DCE.b,998408.0,998408.0,0.0,0.0,0.0,0.0
KQ.m@DCE.m,1034345.5,1034882.0,536.5,0.05186854875861112,580.0,43.5
KQ.m@DCE.y,952180.0,952787.5,607.5,0.06380096200298263,0.0,22.5
KQ.m@DCE.p,1040975.0,1045995.0,5020.0,0.4822402074977785,0.0,20.0
KQ.m@DCE.c,995205.6000000001,995205.6000000001,0.0,0.0,0.0,0.0
KQ.m@DCE.cs,975875.0,975875.0,0.0,0.0,0.0,0.0
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,979817.0,984626.0,4809.0,0.49080593621053725,0.0,126.0
KQ.m@DCE.pg,943904.0,962624.0,18720.0,1.9832525341560159,0.0,0.0
KQ.m@DCE.jd,1042407.7279999999,1042407.7279999999,0.0,0.0,0.0,0.0
KQ.m@DCE.lh,1052747.2000000007,1044747.2000000007,-8000.0,-0.7599165307682599,0.0,0.0
KQ.m@CZCE.SR,938530.0,938530.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CF,925644.5999999996,925644.5999999996,0.0,0.0,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.FG,1001362.0,992562.0,-8800.0,-0.8788030702183626,0.0,0.0
KQ.m@CZCE.RM,1073621.5,1077131.5,3510.0,0.3269308597117327,0.0,0.0
KQ.m@CZCE.OI,1003968.0,1005632.0,1664.0,0.1657423344170332,0.0,16.0
KQ.m@CZCE.SM,996724.0,998206.0,1482.0,0.14868709893611473,0.0,78.0
KQ.m@CZCE.SF,1000079.0,1009637.0,9558.0,0.9557244977646765,8100.0,162.0
KQ.m@CZCE.UR,892230.0,892230.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SA,965554.5,963054.5,-2500.0,-0.2589185799455132,0.0,0.0
KQ.m@CZCE.PK,1002520.0,1002520.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1026492.0,1020492.0,-6000.0,-0.5845150278813669,0.0,0.0
KQ.m@INE.sc,809019.9999999999,900859.9999999999,91840.0,11.352006130874393,90599.99999999991,60.0
KQ.m@INE.lu,1075525.3012999997,977420.0386999997,-98105.26260000002,-9.121613641391706,-116110.0,15.2626
KQ.m@CFFEX.IF,994755.7614399976,994755.7614399976,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IC,1261583.5266399991,1238509.335999999,-23074.19064000016,-1.8289863614067723,-45479.99999999993,74.19064
KQ.m@CFFEX.IH,989417.706519998,989417.706519998,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IM,1052806.6258399987,1074929.5783599988,22122.95252000005,2.101331049502932,0.0,37.04748
KQ.m@CFFEX.T,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,1000000.0,0.0,0.0,0.0,0.0
