symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,1016886.9479999999,16886.94799999986,1.688694799999986,0.0,78.0
KQ.m@SHFE.cu,1000000.0,1028196.5700000003,28196.570000000298,2.81965700000003,0.0,0.0
KQ.m@SHFE.al,1000000.0,999531.0,-469.0,-0.046900000000000004,0.0,0.0
KQ.m@SHFE.zn,1000000.0,981400.0,-18600.0,-1.8599999999999999,600.0,36.0
KQ.m@SHFE.pb,1000000.0,996287.2479999999,-3712.752000000095,-0.3712752000000095,0.0,0.0
KQ.m@SHFE.ni,1000000.0,1030008.0,30008.0,3.0008,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1071606.0,71606.0,7.1606000000000005,0.0,6.0
KQ.m@SHFE.au,1000000.0,952909.9999999974,-47090.00000000256,-4.709000000000256,0.0,10.0
KQ.m@SHFE.ag,1000000.0,1087491.7757500003,87491.77575000026,8.749177575000026,0.0,44.55675
KQ.m@SHFE.ru,1000000.0,982759.6639999999,-17240.336000000127,-1.7240336000000127,0.0,0.0
KQ.m@SHFE.fu,1000000.0,946079.582,-53920.41799999995,-5.392041799999995,0.0,40.16
KQ.m@SHFE.bu,1000000.0,905825.7600000004,-94174.23999999964,-9.417423999999965,0.0,73.08
KQ.m@SHFE.hc,1000000.0,1006443.088,6443.087999999989,0.6443087999999989,0.0,0.0
KQ.m@SHFE.sp,1000000.0,991117.196,-8882.804000000004,-0.8882804000000004,0.0,0.0
KQ.m@SHFE.ss,1000000.0,988333.5699999998,-11666.430000000168,-1.1666430000000167,0.0,0.0
KQ.m@DCE.i,1000000.0,995759.2000000004,-4240.799999999581,-0.42407999999995805,0.0,0.0
KQ.m@DCE.j,1000000.0,1038431.4899999999,38431.489999999874,3.8431489999999875,0.0,0.0
KQ.m@DCE.jm,1000000.0,718751.0655999996,-281248.9344000004,-28.124893440000037,0.0,0.0
KQ.m@DCE.a,1000000.0,992910.0,-7090.0,-0.709,0.0,0.0
KQ.m@DCE.b,1000000.0,997683.0,-2317.0,-0.23170000000000002,0.0,23.0
KQ.m@DCE.m,1000000.0,993868.0,-6132.0,-0.6132000000000001,0.0,0.0
KQ.m@DCE.y,1000000.0,984632.5,-15367.5,-1.5367499999999998,0.0,22.5
KQ.m@DCE.p,1000000.0,1001095.0,1095.0,0.1095,0.0,20.0
KQ.m@DCE.c,1000000.0,1004053.2000000002,4053.2000000001863,0.4053200000000186,0.0,0.0
KQ.m@DCE.cs,1000000.0,1003158.0,3158.0,0.3158,0.0,0.0
KQ.m@DCE.l,1000000.0,992576.0,-7424.0,-0.7424,11970.0,36.0
KQ.m@DCE.v,1000000.0,998955.0,-1045.0,-0.1045,0.0,64.0
KQ.m@DCE.pp,1000000.0,998725.1819999998,-1274.818000000203,-0.1274818000000203,5270.0,45.6195
KQ.m@DCE.eg,1000000.0,913844.0,-86156.0,-8.615599999999999,-8400.0,56.0
KQ.m@DCE.eb,1000000.0,1002436.0,2436.0,0.24359999999999998,0.0,0.0
KQ.m@DCE.pg,1000000.0,972864.0,-27136.0,-2.7136,0.0,0.0
KQ.m@DCE.jd,1000000.0,1005521.1980000003,5521.198000000324,0.5521198000000325,0.0,0.0
KQ.m@DCE.lh,1000000.0,976806.4000000004,-23193.599999999627,-2.319359999999963,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1006846.0,6846.0,0.6846,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1000065.9999999995,65.99999999953434,0.006599999999953434,0.0,0.0
KQ.m@CZCE.TA,1000000.0,998640.0,-1360.0,-0.136,0.0,78.0
KQ.m@CZCE.MA,1000000.0,925286.0,-74714.0,-7.4714,-5940.0,44.0
KQ.m@CZCE.FG,1000000.0,1007282.0,7282.0,0.7282000000000001,0.0,0.0
KQ.m@CZCE.RM,1000000.0,962410.0,-37590.0,-3.759,0.0,0.0
