symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.cu,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.al,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.zn,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.au,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ag,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ru,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1004718.8679999989,4718.867999998853,0.47188679999988525,0.0,0.0
KQ.m@SHFE.bu,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.hc,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ni,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ss,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.wr,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.i,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.j,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.a,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.m,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.y,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.p,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.c,1000000.0,999794.4000000006,-205.59999999939464,-0.020559999999939464,0.0,0.0
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.b,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.jd,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.lh,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.cs,1000000.0,1000811.0,811.0,0.08109999999999999,0.0,0.0
KQ.m@DCE.pg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.rr,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1318000.0,318000.0,31.8,0.0,0.0
KQ.m@CZCE.FG,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.RM,1000000.0,987355.0,-12645.0,-1.2645,0.0,0.0
KQ.m@CZCE.OI,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SM,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.UR,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.PK,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.PF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@INE.sc,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@INE.lu,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.T,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,1000000.0,0.0,0.0,0.0,0.0
