symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,1004096.2479999999,4096.247999999905,0.40962479999999046,-240.0,149.472
KQ.m@SHFE.cu,1000000.0,1010273.7700000003,10273.770000000251,1.027377000000025,0.0,0.0
KQ.m@SHFE.al,1000000.0,1037128.0,37128.0,3.7128,0.0,0.0
KQ.m@SHFE.zn,1000000.0,1104021.0,104021.0,10.4021,0.0,0.0
KQ.m@SHFE.pb,1000000.0,1014647.256,14647.256000000052,1.4647256000000053,0.0,0.0
KQ.m@SHFE.ni,1000000.0,995260.0,-4740.0,-0.47400000000000003,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1106234.0,106234.0,10.6234,0.0,0.0
KQ.m@SHFE.au,1000000.0,1165730.0000000056,165730.0000000056,16.573000000000558,0.0,0.0
KQ.m@SHFE.ag,1000000.0,796771.348,-203228.652,-20.322865200000003,0.0,0.0
KQ.m@SHFE.ru,1000000.0,951770.3,-48229.69999999995,-4.822969999999995,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1137500.2205,137500.22050000005,13.750022050000005,0.0,0.0
KQ.m@SHFE.bu,1000000.0,1077194.4300000002,77194.43000000017,7.719443000000016,0.0,0.0
KQ.m@SHFE.hc,1000000.0,992441.4069999999,-7558.59300000011,-0.755859300000011,0.0,0.0
KQ.m@SHFE.sp,1000000.0,929684.93,-70315.06999999995,-7.031506999999995,0.0,0.0
KQ.m@SHFE.ss,1000000.0,1012799.7824999999,12799.782499999856,1.2799782499999854,0.0,0.0
KQ.m@DCE.i,1000000.0,992735.8,-7264.199999999953,-0.7264199999999953,0.0,0.0
KQ.m@DCE.j,1000000.0,987559.212,-12440.787999999942,-1.2440787999999943,0.0,0.0
KQ.m@DCE.jm,1000000.0,1069456.375,69456.375,6.9456375,0.0,0.0
KQ.m@DCE.a,1000000.0,929092.0,-70908.0,-7.0908,0.0,0.0
KQ.m@DCE.b,1000000.0,1036696.0,36696.0,3.6696,0.0,0.0
KQ.m@DCE.m,1000000.0,1025155.0,25155.0,2.5155,0.0,0.0
KQ.m@DCE.y,1000000.0,1054425.0,54425.0,5.4425,0.0,0.0
KQ.m@DCE.p,1000000.0,869527.5,-130472.5,-13.047249999999998,90.0,40.0
KQ.m@DCE.c,1000000.0,1032558.0,32558.0,3.2558,0.0,0.0
KQ.m@DCE.cs,1000000.0,981473.0,-18527.0,-1.8526999999999998,0.0,0.0
KQ.m@DCE.l,1000000.0,-4233425.0,-5233425.0,-523.3425000000001,0.0,0.0
KQ.m@DCE.v,1000000.0,-776425.0,-1776425.0,-177.64249999999998,0.0,0.0
KQ.m@DCE.pp,1000000.0,-4934454.193200001,-5934454.193200001,-593.44541932,0.0,0.0
KQ.m@DCE.eg,1000000.0,-4118564.0,-5118564.0,-511.8564,0.0,0.0
KQ.m@DCE.eb,1000000.0,964516.0,-35484.0,-3.5484,0.0,0.0
KQ.m@DCE.pg,1000000.0,940384.0,-59616.0,-5.961600000000001,0.0,0.0
KQ.m@DCE.jd,1000000.0,990960.31,-9039.689999999944,-0.9039689999999944,0.0,0.0
KQ.m@DCE.lh,1000000.0,814686.2720000001,-185313.7279999999,-18.53137279999999,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1035549.0,35549.0,3.5549,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1018927.7,18927.699999999953,1.8927699999999954,0.0,0.0
KQ.m@CZCE.TA,1000000.0,-2919264.0,-3919264.0,-391.9264,0.0,0.0
KQ.m@CZCE.MA,1000000.0,-2975058.0,-3975058.0,-397.5058,0.0,0.0
KQ.m@CZCE.FG,1000000.0,915526.0,-84474.0,-8.4474,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1043347.5,43347.5,4.33475,0.0,0.0
KQ.m@CZCE.OI,1000000.0,955252.0,-44748.0,-4.4748,0.0,0.0
KQ.m@CZCE.SM,1000000.0,944245.0,-55755.0,-5.5755,0.0,0.0
KQ.m@CZCE.SF,1000000.0,999838.0,-162.0,-0.0162,8700.0,171.0
KQ.m@CZCE.UR,1000000.0,1029325.0,29325.0,2.9325,0.0,0.0
KQ.m@CZCE.SA,1000000.0,972905.5,-27094.5,-2.70945,0.0,0.0
KQ.m@CZCE.PK,1000000.0,982848.0,-17152.0,-1.7152,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1379800.0,379800.0,37.980000000000004,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1034608.0,34608.0,3.4608,0.0,0.0
KQ.m@INE.sc,1000000.0,1089460.0,89460.0,8.946,0.0,0.0
KQ.m@INE.lu,1000000.0,1277293.8411,277293.8411000001,27.729384110000012,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,978124.4432799997,-21875.556720000342,-2.187555672000034,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,1076330.4436400041,76330.44364000414,7.633044364000415,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,966339.5587599952,-33660.441240004846,-3.366044124000485,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,1075770.2062799956,75770.20627999562,7.577020627999562,0.0,0.0
KQ.m@CFFEX.T,1000000.0,984363.9999999991,-15636.000000000931,-1.5636000000000931,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,984673.0000000002,-15326.999999999767,-1.5326999999999769,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,999822.0000000055,-177.99999999452848,-0.017799999999452847,0.0,0.0
