symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,973704.8800000001,971228.6560000001,-2476.2240000000456,-0.25430949878776876,0.0,76.224
KQ.m@SHFE.cu,963723.1500000003,963723.1500000003,0.0,0.0,0.0,0.0
KQ.m@SHFE.al,841977.0,841977.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.zn,985246.0,985246.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.pb,963940.804,963940.804,0.0,0.0,0.0,0.0
KQ.m@SHFE.ni,951596.0,951596.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.sn,800560.0,800560.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.au,636439.9999999941,636439.9999999941,0.0,0.0,0.0,0.0
KQ.m@SHFE.ag,1126965.9684999997,1126965.9684999997,0.0,0.0,0.0,0.0
KQ.m@SHFE.ru,1030769.5619999999,1030769.5619999999,0.0,0.0,0.0,0.0
KQ.m@SHFE.fu,1698829.2850000001,1698829.2850000001,0.0,0.0,0.0,0.0
KQ.m@SHFE.bu,1704724.878,1704724.878,0.0,0.0,0.0,0.0
KQ.m@SHFE.hc,978578.3829999998,978578.3829999998,0.0,0.0,0.0,0.0
KQ.m@SHFE.sp,1039861.9,1039861.9,0.0,0.0,0.0,0.0
KQ.m@SHFE.ss,998220.0399999999,998220.0399999999,0.0,0.0,0.0,0.0
KQ.m@DCE.i,1020346.6799999999,1020346.6799999999,0.0,0.0,0.0,0.0
KQ.m@DCE.j,966518.626,966518.626,0.0,0.0,0.0,0.0
KQ.m@DCE.jm,659522.548,659522.548,0.0,0.0,0.0,0.0
KQ.m@DCE.a,1042624.0,1042624.0,0.0,0.0,0.0,0.0
KQ.m@DCE.b,1011891.0,1011891.0,0.0,0.0,0.0,0.0
KQ.m@DCE.m,1008366.5,1008366.5,0.0,0.0,0.0,0.0
KQ.m@DCE.y,1084550.0,1084550.0,0.0,0.0,0.0,0.0
KQ.m@DCE.p,1104827.5,1029655.0,-75172.5,-6.804003339887902,0.0,22.5
KQ.m@DCE.c,1060753.6,1060753.6,0.0,0.0,0.0,0.0
KQ.m@DCE.cs,1005123.5,1005123.5,0.0,0.0,0.0,0.0
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,1036064.0,1036064.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pg,973286.0,973286.0,0.0,0.0,0.0,0.0
KQ.m@DCE.jd,1157813.542,1157813.542,0.0,0.0,0.0,0.0
KQ.m@DCE.lh,932586.5279999999,932586.5279999999,0.0,0.0,0.0,0.0
KQ.m@CZCE.SR,989092.0,989092.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CF,1030752.7,1030752.7,0.0,0.0,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.FG,871012.0,871012.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.RM,865225.0,865225.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.OI,1034224.0,1034224.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SM,1087048.0,1087048.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SF,965952.0,947668.0,-18284.0,-1.8928476777313987,0.0,84.0
KQ.m@CZCE.UR,1043125.0,1043125.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.SA,934909.0,934909.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.PK,965096.0,965096.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,940808.0,940808.0,0.0,0.0,0.0,0.0
KQ.m@INE.sc,1213680.0,1213680.0,0.0,0.0,0.0,0.0
KQ.m@INE.lu,2051927.0792,2051927.0792,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IF,961826.0510199986,961826.0510199986,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IC,1184253.933440005,1184253.933440005,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IH,1049419.4576799935,1049419.4576799935,0.0,0.0,0.0,0.0
KQ.m@CFFEX.IM,1082533.3262400005,1082533.3262400005,0.0,0.0,0.0,0.0
KQ.m@CFFEX.T,993752.0000000065,993752.0000000065,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TF,988572.9999999999,988572.9999999999,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TS,982592.0000000069,982592.0000000069,0.0,0.0,0.0,0.0
