symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,957328.9699999994,-42671.03000000061,-4.267103000000061,690.0,218.638
KQ.m@SHFE.cu,1000000.0,905967.932500001,-94032.06749999896,-9.403206749999896,0.0,25.7275
KQ.m@SHFE.al,1000000.0,975043.0,-24957.0,-2.4957,-4550.0,21.0
KQ.m@SHFE.zn,1000000.0,990720.0,-9280.0,-0.928,0.0,0.0
KQ.m@SHFE.pb,1000000.0,987371.2679999996,-12628.732000000426,-1.2628732000000424,0.0,0.0
KQ.m@SHFE.ni,1000000.0,886404.0,-113596.0,-11.3596,0.0,0.0
KQ.m@SHFE.sn,1000000.0,971207.0,-28793.0,-2.8792999999999997,-12800.0,6.0
KQ.m@SHFE.au,1000000.0,1101910.0000000005,101910.00000000047,10.191000000000047,0.0,10.0
KQ.m@SHFE.ag,1000000.0,783599.9949999993,-216400.0050000007,-21.64000050000007,-28350.0,57.813
KQ.m@SHFE.ru,1000000.0,947563.1079999988,-52436.89200000116,-5.243689200000116,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1071946.4799999995,71946.47999999952,7.194647999999952,0.0,43.45
KQ.m@SHFE.bu,1000000.0,1123751.058,123751.05799999996,12.375105799999995,0.0,8.186
KQ.m@SHFE.hc,1000000.0,978883.949000001,-21116.050999999046,-2.1116050999999048,0.0,0.0
KQ.m@SHFE.sp,1000000.0,970442.7320000003,-29557.26799999969,-2.9557267999999692,0.0,2.523
KQ.m@SHFE.ss,1000000.0,998636.1599999997,-1363.8400000003166,-0.13638400000003167,0.0,0.0
KQ.m@DCE.i,1000000.0,1062063.6299999992,62063.62999999919,6.206362999999919,0.0,0.0
KQ.m@DCE.j,1000000.0,876320.7810000005,-123679.21899999946,-12.367921899999947,0.0,0.0
KQ.m@DCE.jm,1000000.0,1109245.615,109245.61499999999,10.9245615,0.0,0.0
KQ.m@DCE.a,1000000.0,1045680.0,45680.0,4.568,0.0,0.0
KQ.m@DCE.b,1000000.0,1080418.0,80418.0,8.0418,-2880.0,48.0
KQ.m@DCE.m,1000000.0,1073551.5,73551.5,7.355150000000001,0.0,0.0
KQ.m@DCE.y,1000000.0,995582.5,-4417.5,-0.44175000000000003,0.0,22.5
KQ.m@DCE.p,1000000.0,1021810.0,21810.0,2.181,0.0,20.0
KQ.m@DCE.c,1000000.0,1003512.4000000004,3512.4000000003725,0.35124000000003724,0.0,0.0
KQ.m@DCE.cs,1000000.0,991021.0,-8979.0,-0.8978999999999999,0.0,45.0
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,1000000.0,1068472.0,68472.0,6.847200000000001,-34080.0,282.0
KQ.m@DCE.pg,1000000.0,1014818.0,14818.0,1.4818,0.0,0.0
KQ.m@DCE.jd,1000000.0,975826.0760000005,-24173.923999999533,-2.4173923999999536,0.0,5.28
KQ.m@DCE.lh,1000000.0,1077554.816,77554.81600000011,7.755481600000011,0.0,0.0
KQ.m@CZCE.SR,1000000.0,975976.0,-24024.0,-2.4024,0.0,0.0
KQ.m@CZCE.CF,1000000.0,910779.5999999996,-89220.40000000037,-8.922040000000036,-2500.0,86.0
KQ.m@CZCE.TA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.FG,1000000.0,1048630.0,48630.0,4.8629999999999995,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1110490.5,110490.5,11.049050000000001,0.0,0.0
KQ.m@CZCE.OI,1000000.0,965976.0,-34024.0,-3.4024,0.0,0.0
KQ.m@CZCE.SM,1000000.0,1029803.0,29803.0,2.9803,0.0,3.0
KQ.m@CZCE.SF,1000000.0,932962.0,-67038.0,-6.7038,7800.0,156.0
KQ.m@CZCE.UR,1000000.0,855640.0,-144360.0,-14.435999999999998,0.0,0.0
KQ.m@CZCE.SA,1000000.0,992483.0,-7517.0,-0.7517,0.0,0.0
KQ.m@CZCE.PK,1000000.0,994854.0,-5146.0,-0.5146000000000001,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1011734.0,11734.0,1.1734,0.0,3.0
KQ.m@INE.sc,1000000.0,786660.0000000033,-213339.99999999674,-21.333999999999673,0.0,20.0
KQ.m@INE.lu,1000000.0,1033379.6891999997,33379.68919999967,3.3379689199999674,0.0,8.5068
KQ.m@CFFEX.IF,1000000.0,837744.3403,-162255.65969999996,-16.225565969999998,-35759.99999999994,65.13876
KQ.m@CFFEX.IC,1000000.0,1263806.0981200025,263806.09812000254,26.380609812000255,-58039.99999999996,75.13088
KQ.m@CFFEX.IH,1000000.0,972097.7196399997,-27902.280360000324,-2.790228036000032,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,946480.1727199936,-53519.82728000637,-5.351982728000637,-52319.99999999989,75.4952
KQ.m@CFFEX.T,1000000.0,994336.00000001,-5663.999999989988,-0.5663999999989988,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,1003156.0000000015,3156.0000000015134,0.31560000000015137,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,992004.0000000045,-7995.99999999546,-0.799599999999546,0.0,0.0
