symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,964832.3209999983,-35167.67900000175,-3.516767900000175,-3200.0,594.8789999999999
KQ.m@SHFE.cu,1000000.0,1040642.0225000028,40642.02250000276,4.0642022500002755,0.0,0.0
KQ.m@SHFE.al,1000000.0,910594.0,-89406.0,-8.9406,0.0,0.0
KQ.m@SHFE.zn,1000000.0,973216.9999999999,-26783.000000000116,-2.6783000000000117,600.0,36.0
KQ.m@SHFE.pb,1000000.0,932663.6679999976,-67336.33200000238,-6.733633200000239,0.0,0.0
KQ.m@SHFE.ni,1000000.0,851609.0,-148391.0,-14.8391,0.0,0.0
KQ.m@SHFE.sn,1000000.0,896087.0,-103913.0,-10.391300000000001,-2010.0,6.0
KQ.m@SHFE.au,1000000.0,349929.9999999994,-650070.0000000006,-65.00700000000006,0.0,0.0
KQ.m@SHFE.ag,1000000.0,840884.8779999987,-159115.12200000125,-15.911512200000125,5850.0,57.813
KQ.m@SHFE.ru,1000000.0,958061.275999997,-41938.724000002956,-4.193872400000295,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1665759.1320000002,665759.1320000002,66.57591320000003,0.0,3.95
KQ.m@SHFE.bu,1000000.0,835616.3240000001,-164383.67599999986,-16.438367599999985,0.0,4.093
KQ.m@SHFE.hc,1000000.0,958912.9980000034,-41087.0019999966,-4.10870019999966,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1026649.9829999988,26649.982999998843,2.6649982999998842,0.0,2.523
KQ.m@SHFE.ss,1000000.0,942442.0699999997,-57557.930000000284,-5.755793000000028,0.0,0.0
KQ.m@DCE.i,1000000.0,923307.3049999984,-76692.69500000158,-7.669269500000158,-350.0,113.19000000000001
KQ.m@DCE.j,1000000.0,1014755.9820000015,14755.982000001473,1.4755982000001473,-7200.0,84.744
KQ.m@DCE.jm,1000000.0,792285.8650000006,-207714.13499999943,-20.771413499999944,0.0,36.045
KQ.m@DCE.a,1000000.0,1005744.0,5744.0,0.5744,1870.0,68.0
KQ.m@DCE.b,1000000.0,1001508.0,1508.0,0.1508,-2420.0,44.0
KQ.m@DCE.m,1000000.0,992720.5,-7279.5,-0.72795,0.0,0.0
KQ.m@DCE.y,1000000.0,1015917.5,15917.5,1.5917500000000002,0.0,0.0
KQ.m@DCE.p,1000000.0,1016760.0,16760.0,1.6760000000000002,28880.0,80.0
KQ.m@DCE.c,1000000.0,1024942.4000000014,24942.40000000142,2.4942400000001417,-720.0,86.39999999999999
KQ.m@DCE.cs,1000000.0,1034234.5,34234.5,3.42345,-1550.0,93.0
KQ.m@DCE.l,1000000.0,544652.0,-455348.0,-45.5348,0.0,0.0
KQ.m@DCE.v,1000000.0,1051050.0,51050.0,5.1049999999999995,0.0,0.0
KQ.m@DCE.pp,1000000.0,1056440.5495999998,56440.549599999795,5.64405495999998,0.0,0.0
KQ.m@DCE.eg,1000000.0,1851638.0,851638.0,85.1638,0.0,128.0
KQ.m@DCE.eb,1000000.0,1166937.0,166937.0,16.6937,36500.0,300.0
KQ.m@DCE.pg,1000000.0,912994.0,-87006.0,-8.7006,-28220.0,816.0
KQ.m@DCE.jd,1000000.0,1063677.3619999995,63677.3619999995,6.36773619999995,1750.0,264.0
KQ.m@DCE.lh,1000000.0,1014075.0720000005,14075.07200000051,1.407507200000051,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1018680.0000000001,18680.000000000116,1.8680000000000117,0.0,0.0
KQ.m@CZCE.CF,1000000.0,924730.9999999991,-75269.00000000093,-7.526900000000094,0.0,0.0
KQ.m@CZCE.TA,1000000.0,808991.0,-191009.0,-19.100900000000003,0.0,0.0
KQ.m@CZCE.MA,1000000.0,218.0,-999782.0,-99.9782,0.0,0.0
KQ.m@CZCE.FG,1000000.0,922573.0,-77427.0,-7.742699999999999,0.0,0.0
KQ.m@CZCE.RM,1000000.0,971872.0,-28128.0,-2.8128,-3240.0,108.0
KQ.m@CZCE.OI,1000000.0,1107172.0,107172.0,10.7172,-22590.0,36.0
KQ.m@CZCE.SM,1000000.0,1062848.0,62848.0,6.2848,-12960.0,165.0
KQ.m@CZCE.SF,1000000.0,982330.0,-17670.0,-1.7670000000000001,-840.0,504.0
KQ.m@CZCE.UR,1000000.0,907490.0,-92510.0,-9.251,-13200.0,200.0
KQ.m@CZCE.SA,1000000.0,959812.5,-40187.5,-4.01875,3820.0,196.0
KQ.m@CZCE.PK,1000000.0,942804.0,-57196.0,-5.7196,-1050.0,120.0
KQ.m@CZCE.AP,1000000.0,994960.0,-5040.0,-0.504,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1097582.0,97582.0,9.7582,0.0,3.0
KQ.m@INE.sc,1000000.0,1135799.9999999998,135799.99999999977,13.579999999999975,-76000.0,80.0
KQ.m@INE.lu,1000000.0,772237.4017999998,-227762.59820000024,-22.776259820000025,-123400.0,40.6436
KQ.m@CFFEX.IF,1000000.0,926892.70858,-73107.29142000002,-7.310729142000002,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,758907.1916799942,-241092.80832000577,-24.109280832000575,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1111651.9538800009,111651.95388000086,11.165195388000086,-12839.999999999918,40.15248
KQ.m@CFFEX.IM,1000000.0,937474.1423199963,-62525.85768000374,-6.252585768000374,0.0,0.0
KQ.m@CFFEX.T,1000000.0,957068.000000005,-42931.999999994994,-4.2931999999995,0.0,24.0
KQ.m@CFFEX.TF,1000000.0,1012105.0000000083,12105.000000008265,1.2105000000008266,-1049.9999999998977,18.0
KQ.m@CFFEX.TS,1000000.0,994642.0000000112,-5357.999999988824,-0.5357999999988824,0.0,0.0
