symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission,total_klines,cross_up,cross_down,long_signals,short_signals,close_long,close_short
KQ.m@SHFE.rb,673748.3199999734,668633.4399999725,-5114.880000000936,-0.7591677556986173,-3840.0,1274.8799999999997,4137,337,406,324,393,153,157
KQ.m@SHFE.cu,823997.5075000628,820407.7300000638,-3589.777499999036,-0.43565392702340944,-3000.0,589.7774999999999,5529,486,595,446,566,196,259
KQ.m@SHFE.al,603860.0,597752.0,-6108.0,-1.0114927301030041,-5600.0,408.0,5529,523,565,493,535,240,215
KQ.m@SHFE.zn,698401.0,700113.0,1712.0,0.24513137867786558,2500.0,288.0,5529,444,594,414,561,207,240
KQ.m@SHFE.pb,845459.6799999916,845093.9199999927,-365.75999999884516,-0.04326167275047922,-100.0,265.7600000000001,5529,450,539,430,518,189,222
KQ.m@SHFE.ni,936258.0,941226.0,4968.0,0.5306229693097415,3560.0,192.0,5529,489,571,458,546,215,250
KQ.m@SHFE.sn,808022.0,805554.0,-2468.0,-0.3054372281942819,-2390.0,78.0,5529,477,518,437,485,213,207
KQ.m@SHFE.au,860090.0000000237,871370.0000000234,11279.99999999965,1.3114906579543233,13100.000000000591,300.0,6573,571,679,520,648,258,297
KQ.m@SHFE.ag,588525.4930000143,592496.5930000142,3971.0999999998603,0.6747541180853763,5040.0,423.8999999999999,6573,572,620,519,577,264,258
KQ.m@SHFE.ru,773376.9805000066,768522.5260000064,-4854.454500000225,-0.6276957580068785,-4350.0,504.45450000000017,4137,336,401,320,383,150,174
KQ.m@SHFE.fu,773849.9540000164,772455.8730000164,-1394.0810000000056,-0.18014874754389093,-1070.0,324.08099999999996,4137,351,413,295,388,149,179
KQ.m@SHFE.bu,539786.9999999788,516058.04999997857,-23728.950000000244,-4.3959839714556255,-23100.0,628.9499999999999,4137,352,428,313,407,163,178
KQ.m@SHFE.hc,708022.7399999951,704754.5399999944,-3268.200000000652,-0.4615953436750739,-2250.0,1018.1999999999998,4137,335,449,322,433,155,190
KQ.m@SHFE.sp,669697.6089999804,661919.7279999799,-7777.881000000518,-1.1614019365568238,-5260.0,317.881,4137,351,421,343,400,159,161
KQ.m@SHFE.ss,768019.9399999708,762523.0399999698,-5496.900000001071,-0.7157236047805321,-4800.0,696.8999999999999,5529,429,557,401,532,189,230
KQ.m@DCE.i,615143.4000000285,601468.9000000285,-13674.5,-2.222977601645302,-12750.0,1174.5,4137,350,394,336,382,166,181
KQ.m@DCE.j,761523.1220000341,767415.6110000347,5892.489000000642,0.773776767870796,6300.0,407.51099999999997,4137,358,369,334,360,156,156
KQ.m@DCE.jm,49054.110400008794,39667.06720000884,-9387.043199999956,-19.136099143280504,-8640.0,207.0431999999999,4137,344,386,329,363,163,157
KQ.m@DCE.a,796470.0,795602.0,-868.0,-0.10898087812472536,-420.0,448.0,4137,346,384,329,374,144,181
KQ.m@DCE.b,751058.0,748513.0,-2545.0,-0.33885532142657426,-2770.0,285.0,4137,351,400,329,380,156,163
KQ.m@DCE.m,679890.0,674371.0,-5519.0,-0.8117489593904896,-5090.0,429.0,4137,345,383,318,373,145,155
KQ.m@DCE.y,913000.0,896000.0,-17000.0,-1.8619934282584885,-16800.0,200.0,4137,334,384,308,366,154,168
KQ.m@DCE.p,839902.5,814685.0,-25217.5,-3.0024318298850163,-24990.0,227.5,4137,338,426,314,397,161,170
KQ.m@DCE.c,610855.1999999962,606335.9999999972,-4519.199999999022,-0.7398152622747666,-3990.0,529.1999999999998,4137,359,435,338,427,128,194
KQ.m@DCE.cs,650802.0,647591.0,-3211.0,-0.49339123112713235,-2470.0,741.0,4137,365,381,350,375,167,156
KQ.m@DCE.l,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@DCE.v,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@DCE.pp,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@DCE.eg,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KQ.m@DCE.eb,913734.0,926454.0,12720.0,1.39209003933311,13800.0,1080.0,2091,184,190,167,185,86,83
