symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,969192.1399999994,-30807.860000000568,-3.0807860000000566,1150.0,146.74
KQ.m@SHFE.cu,1000000.0,989931.4375000071,-10068.562499992899,-1.00685624999929,-4950.0,128.21249999999998
KQ.m@SHFE.al,1000000.0,1022080.0,22080.0,2.2079999999999997,-175.0,42.0
KQ.m@SHFE.zn,1000000.0,976407.0,-23593.0,-2.3592999999999997,3600.0,72.0
KQ.m@SHFE.pb,1000000.0,995349.2559999991,-4650.744000000879,-0.46507440000008793,-400.0,26.576
KQ.m@SHFE.ni,1000000.0,1075194.0,75194.0,7.5194,-5050.0,60.0
KQ.m@SHFE.sn,1000000.0,959766.0,-40234.0,-4.0234,690.0,18.0
KQ.m@SHFE.au,1000000.0,1065400.0000000016,65400.00000000163,6.540000000000163,15160.00000000031,40.0
KQ.m@SHFE.ag,1000000.0,724936.398999999,-275063.60100000096,-27.506360100000094,3990.0,141.3
KQ.m@SHFE.ru,1000000.0,986559.2620000027,-13440.737999997335,-1.3440737999997334,0.0,0.0
KQ.m@SHFE.fu,1000000.0,786392.0460000022,-213607.95399999782,-21.360795399999784,-640.0,96.024
KQ.m@SHFE.bu,1000000.0,1173373.3339999989,173373.33399999887,17.33733339999989,-2640.0,301.89599999999996
KQ.m@SHFE.hc,1000000.0,976794.9739999971,-23205.026000002865,-2.3205026000002866,1050.0,142.548
KQ.m@SHFE.sp,1000000.0,987985.1399999999,-12014.860000000102,-1.2014860000000103,-960.0,200.24
KQ.m@SHFE.ss,1000000.0,967255.0599999995,-32744.940000000526,-3.2744940000000526,-2875.0,75.75
KQ.m@DCE.i,1000000.0,972372.199999997,-27627.800000002957,-2.7627800000002956,1600.0,388.8
KQ.m@DCE.j,1000000.0,961271.9520000054,-38728.0479999946,-3.8728047999994595,4200.0,62.694
KQ.m@DCE.jm,1000000.0,514536.8224000004,-485463.1775999996,-48.54631775999996,26640.0,294.6384
KQ.m@DCE.a,1000000.0,955864.0,-44136.0,-4.4136,0.0,0.0
KQ.m@DCE.b,1000000.0,999240.0,-760.0,-0.076,-4400.0,44.0
KQ.m@DCE.m,1000000.0,966845.0,-33155.0,-3.3154999999999997,840.0,84.0
KQ.m@DCE.y,1000000.0,972255.0,-27745.0,-2.7744999999999997,-4320.0,45.0
KQ.m@DCE.p,1000000.0,1016960.0,16960.0,1.696,2560.0,40.0
KQ.m@DCE.c,1000000.0,976926.7999999999,-23073.20000000007,-2.307320000000007,0.0,0.0
KQ.m@DCE.cs,1000000.0,983833.0,-16167.0,-1.6167,2610.0,174.0
KQ.m@DCE.l,1000000.0,873554.0000000009,-126445.99999999907,-12.644599999999906,-50798.23529411762,124.0
KQ.m@DCE.v,1000000.0,1046767.9999999995,46767.999999999534,4.676799999999953,-22614.588377723994,198.0
KQ.m@DCE.pp,1000000.0,-488191.59520000126,-1488191.5952000013,-148.81915952000014,-31280.0,20.9664
KQ.m@DCE.eg,1000000.0,877492.0000000009,-122507.99999999907,-12.250799999999906,-75180.0,168.0
KQ.m@DCE.eb,1000000.0,961456.0,-38544.0,-3.8544,-15855.0,252.0
KQ.m@DCE.pg,1000000.0,934928.0,-65072.0,-6.5072,27880.0,306.0
KQ.m@DCE.jd,1000000.0,957172.7765000021,-42827.22349999787,-4.282722349999787,0.0,120.3705
KQ.m@DCE.lh,1000000.0,930254.5920000004,-69745.40799999959,-6.974540799999959,0.0,0.0
KQ.m@CZCE.SR,1000000.0,983006.0,-16994.0,-1.6993999999999998,-3420.0,108.0
KQ.m@CZCE.CF,1000000.0,985679.5999999978,-14320.400000002235,-1.4320400000002236,500.0,86.0
KQ.m@CZCE.TA,1000000.0,701428.9999999997,-298571.00000000035,-29.857100000000038,0.0,60.0
KQ.m@CZCE.MA,1000000.0,903508.0000000002,-96491.99999999977,-9.649199999999977,-71591.20967741945,146.0
KQ.m@CZCE.FG,1000000.0,983590.0,-16410.0,-1.641,-2460.0,246.0
KQ.m@CZCE.RM,1000000.0,968054.0,-31946.0,-3.1946000000000003,5400.0,108.0
KQ.m@CZCE.OI,1000000.0,983096.0,-16904.0,-1.6904,-14720.0,48.0
KQ.m@CZCE.SM,1000000.0,985134.0,-14866.0,-1.4866000000000001,-2340.0,156.0
KQ.m@CZCE.SF,1000000.0,990966.0,-9034.0,-0.9034,4480.0,168.0
KQ.m@CZCE.UR,1000000.0,993640.0,-6360.0,-0.636,20940.0,325.0
KQ.m@CZCE.SA,1000000.0,962118.0,-37882.0,-3.7882,0.0,0.0
KQ.m@CZCE.PK,1000000.0,966040.0,-33960.0,-3.396,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1007919.9999999995,7919.999999999534,0.7919999999999535,0.0,160.0
KQ.m@CZCE.CJ,1000000.0,987439.0,-12561.0,-1.2561,6750.0,45.0
KQ.m@INE.sc,1000000.0,936139.9999999969,-63860.00000000314,-6.386000000000314,22499.999999999887,100.0
KQ.m@INE.lu,1000000.0,871096.7421999995,-128903.25780000049,-12.890325780000047,28000.0,30.203999999999994
KQ.m@CFFEX.IF,1000000.0,1003359.4620999994,3359.462099999422,0.3359462099999422,0.0,32.56938
KQ.m@CFFEX.IC,1000000.0,831672.4254399992,-168327.5745600008,-16.83275745600008,0.0,37.56544
KQ.m@CFFEX.IH,1000000.0,964732.5490000009,-35267.45099999907,-3.526745099999907,-12119.99999999989,40.15248
KQ.m@CFFEX.IM,1000000.0,933820.4083999981,-66179.5916000019,-6.617959160000191,0.0,37.7476
KQ.m@CFFEX.T,1000000.0,993280.0000000144,-6719.9999999855645,-0.6719999999985565,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,989638.0000000115,-10361.999999988475,-1.0361999999988474,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,1000948.0000000213,948.000000021304,0.0948000000021304,0.0,0.0
