symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,990413.6799999999,-9586.320000000065,-0.9586320000000065,-240.0,151.44
KQ.m@SHFE.cu,1000000.0,957270.1875000006,-42729.81249999942,-4.272981249999941,-2500.0,51.285
KQ.m@SHFE.al,1000000.0,983844.0,-16156.0,-1.6156,0.0,0.0
KQ.m@SHFE.zn,1000000.0,1041986.0,41986.0,4.1986,0.0,0.0
KQ.m@SHFE.pb,1000000.0,1002833.9199999999,2833.9199999999255,0.28339199999999254,0.0,0.0
KQ.m@SHFE.ni,1000000.0,948204.0,-51796.0,-5.1796,0.0,0.0
KQ.m@SHFE.sn,1000000.0,863324.0,-136676.0,-13.667599999999998,0.0,0.0
KQ.m@SHFE.au,1000000.0,769449.9999999978,-230550.0000000022,-23.055000000000224,0.0,0.0
KQ.m@SHFE.ag,1000000.0,573886.207,-426113.79299999995,-42.611379299999996,-28260.0,42.39
KQ.m@SHFE.ru,1000000.0,996708.2810000001,-3291.7189999999246,-0.3291718999999924,-6000.0,61.146
KQ.m@SHFE.fu,1000000.0,1844430.9330000002,844430.9330000002,84.44309330000002,0.0,16.004
KQ.m@SHFE.bu,1000000.0,722556.4120000001,-277443.5879999999,-27.744358799999986,0.0,4.193
KQ.m@SHFE.hc,1000000.0,1006450.666,6450.665999999968,0.6450665999999968,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ss,1000000.0,1015234.3899999999,15234.389999999898,1.5234389999999898,0.0,0.0
KQ.m@DCE.i,1000000.0,973005.5999999999,-26994.40000000014,-2.6994400000000143,0.0,0.0
KQ.m@DCE.j,1000000.0,976418.653,-23581.34699999995,-2.358134699999995,0.0,0.0
KQ.m@DCE.jm,1000000.0,1880598.3976,880598.3976,88.05983976,0.0,0.0
KQ.m@DCE.a,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.b,1000000.0,1018559.0,18559.0,1.8558999999999999,0.0,0.0
KQ.m@DCE.m,1000000.0,1039165.0,39165.0,3.9164999999999996,0.0,0.0
KQ.m@DCE.y,1000000.0,1038475.0,38475.0,3.8475,-20100.0,50.0
KQ.m@DCE.p,1000000.0,871092.5,-128907.5,-12.89075,-27510.0,70.0
KQ.m@DCE.c,1000000.0,1023716.8,23716.800000000047,2.371680000000005,0.0,0.0
KQ.m@DCE.cs,1000000.0,1030023.5,30023.5,3.0023500000000003,0.0,0.0
KQ.m@DCE.l,1000000.0,1038832.0,38832.0,3.8832,0.0,38.0
KQ.m@DCE.v,1000000.0,1159798.0,159798.0,15.9798,0.0,0.0
KQ.m@DCE.pp,1000000.0,1682302.8095999998,682302.8095999998,68.23028095999997,0.0,81.2448
KQ.m@DCE.eg,1000000.0,837842.0,-162158.0,-16.215799999999998,0.0,52.0
KQ.m@DCE.eb,1000000.0,1038478.0,38478.0,3.8478,0.0,0.0
KQ.m@DCE.pg,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.jd,1000000.0,1017600.984,17600.984000000055,1.7600984000000055,0.0,0.0
KQ.m@DCE.lh,1000000.0,812906.24,-187093.76,-18.709376,0.0,0.0
KQ.m@CZCE.SR,1000000.0,989290.0,-10710.0,-1.0710000000000002,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1017002.7,17002.699999999953,1.7002699999999953,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1445406.0,445406.0,44.540600000000005,0.0,0.0
KQ.m@CZCE.MA,1000000.0,2079152.0,1079152.0,107.91519999999998,0.0,132.0
KQ.m@CZCE.FG,1000000.0,919326.0,-80674.0,-8.0674,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1030196.5,30196.5,3.01965,0.0,0.0
KQ.m@CZCE.OI,1000000.0,1054886.0,54886.0,5.4886,0.0,0.0
KQ.m@CZCE.SM,1000000.0,971470.0,-28530.0,-2.8529999999999998,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1123596.0,123596.0,12.3596,9280.0,357.0
KQ.m@CZCE.UR,1000000.0,977690.0,-22310.0,-2.231,0.0,5.0
KQ.m@CZCE.SA,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.PK,1000000.0,985856.0,-14144.0,-1.4144,0.0,0.0
KQ.m@CZCE.AP,1000000.0,998720.0,-1280.0,-0.128,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1007590.0,7590.0,0.759,0.0,0.0
KQ.m@INE.sc,1000000.0,918599.9999999994,-81400.00000000058,-8.140000000000057,0.0,0.0
KQ.m@INE.lu,1000000.0,546750.4503999997,-453249.54960000026,-45.32495496000003,0.0,2.0136
KQ.m@CFFEX.IF,1000000.0,1101447.3699400001,101447.36994000012,10.144736994000011,-21479.999999999836,65.13876
KQ.m@CFFEX.IC,1000000.0,929893.743,-70106.25699999998,-7.010625699999998,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1061499.3479799961,61499.34797999612,6.149934797999612,-12839.999999999918,40.15248
KQ.m@CFFEX.IM,1000000.0,843173.1330399996,-156826.86696000036,-15.682686696000037,0.0,0.0
KQ.m@CFFEX.T,1000000.0,987188.0000000013,-12811.99999999872,-1.281199999999872,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,992755.0000000001,-7244.999999999884,-0.7244999999999884,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,1000228.0000000034,228.00000000337604,0.022800000000337606,0.0,0.0
