symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,986391.3599999999,-13608.64000000013,-1.360864000000013,0.0,0.0
KQ.m@SHFE.cu,1000000.0,914164.3750000184,-85835.6249999816,-8.58356249999816,-3300.0,153.85499999999996
KQ.m@SHFE.al,1000000.0,899736.0,-100264.0,-10.0264,0.0,0.0
KQ.m@SHFE.zn,1000000.0,934801.0,-65199.0,-6.519899999999999,1350.0,36.0
KQ.m@SHFE.pb,1000000.0,1003000.5839999998,3000.583999999799,0.3000583999999799,0.0,0.0
KQ.m@SHFE.ni,1000000.0,927288.0,-72712.0,-7.2712,-2600.0,48.0
KQ.m@SHFE.sn,1000000.0,871312.0,-128688.0,-12.8688,-3840.0,30.0
KQ.m@SHFE.au,1000000.0,917760.0000000083,-82239.99999999173,-8.223999999999174,8779.999999999973,40.0
KQ.m@SHFE.ag,1000000.0,636289.0179999903,-363710.98200000974,-36.37109820000097,465.0,452.1599999999999
KQ.m@SHFE.ru,1000000.0,930377.1580000089,-69622.8419999911,-6.962284199999109,-4000.0,305.73
KQ.m@SHFE.fu,1000000.0,770932.1920000007,-229067.80799999926,-22.906780799999925,7300.000000000091,404.10099999999994
KQ.m@SHFE.bu,1000000.0,928215.0290000036,-71784.97099999641,-7.178497099999641,-2620.0,612.178
KQ.m@SHFE.hc,1000000.0,997377.729999999,-2622.27000000095,-0.262227000000095,0.0,0.0
KQ.m@SHFE.sp,1000000.0,943213.5439999949,-56786.45600000513,-5.678645600000513,1200.0,300.36000000000007
KQ.m@SHFE.ss,1000000.0,949459.4299999978,-50540.57000000216,-5.054057000000216,0.0,0.0
KQ.m@DCE.i,1000000.0,939922.399999998,-60077.600000001956,-6.007760000000196,1050.0,226.79999999999998
KQ.m@DCE.j,1000000.0,870513.6400000264,-129486.35999997356,-12.948635999997357,-150.0,282.12300000000005
KQ.m@DCE.jm,1000000.0,84396.85119999744,-915603.1488000025,-91.56031488000025,900.0,215.00639999999999
KQ.m@DCE.a,1000000.0,948226.0,-51774.0,-5.1774000000000004,0.0,0.0
KQ.m@DCE.b,1000000.0,975200.0,-24800.0,-2.48,-5060.0,44.0
KQ.m@DCE.m,1000000.0,955767.0,-44233.0,-4.4233,-3640.0,84.0
KQ.m@DCE.y,1000000.0,958855.0,-41145.0,-4.1145000000000005,-3600.0,45.0
KQ.m@DCE.p,1000000.0,997305.0,-2695.0,-0.2695,2720.0,80.0
KQ.m@DCE.c,1000000.0,1002486.7999999991,2486.7999999991152,0.24867999999991153,0.0,0.0
KQ.m@DCE.cs,1000000.0,989878.0,-10122.0,-1.0122,0.0,0.0
KQ.m@DCE.l,1000000.0,771981.9999999999,-228018.00000000012,-22.80180000000001,26790.852498806613,284.0
KQ.m@DCE.v,1000000.0,830700.0000000006,-169299.99999999942,-16.929999999999943,-95365.0018557254,824.0
KQ.m@DCE.pp,1000000.0,721490.7231999994,-278509.2768000006,-27.85092768000006,30008.020829716625,466.5024
KQ.m@DCE.eg,1000000.0,731688.0000000022,-268311.9999999978,-26.83119999999978,-1241.7793645156707,644.0
KQ.m@DCE.eb,1000000.0,877792.0,-122208.0,-12.2208,-13790.00000000004,240.0
KQ.m@DCE.pg,1000000.0,908786.0,-91214.0,-9.1214,27540.0,1632.0
KQ.m@DCE.jd,1000000.0,926312.4580000025,-73687.54199999745,-7.368754199999746,440.0,230.274
KQ.m@DCE.lh,1000000.0,923672.9600000011,-76327.03999999887,-7.632703999999888,-1200.0,311.68
KQ.m@CZCE.SR,1000000.0,961998.0,-38002.0,-3.8002000000000002,0.0,0.0
KQ.m@CZCE.CF,1000000.0,981047.9999999977,-18952.00000000233,-1.8952000000002327,0.0,0.0
KQ.m@CZCE.TA,1000000.0,443866.9999999984,-556133.0000000016,-55.613300000000166,-57338.585744625845,501.0
KQ.m@CZCE.MA,1000000.0,428239.9999999988,-571760.0000000012,-57.176000000000116,-9079.394089762758,232.0
KQ.m@CZCE.FG,1000000.0,617761.9999999999,-382238.0000000001,-38.22380000000001,-1040.0,156.0
KQ.m@CZCE.RM,1000000.0,827096.0,-172904.0,-17.2904,-620.0,93.0
KQ.m@CZCE.OI,1000000.0,909672.0,-90328.0,-9.0328,-13830.0,60.0
KQ.m@CZCE.SM,1000000.0,967289.9999999998,-32710.000000000233,-3.271000000000023,-2750.0,150.0
KQ.m@CZCE.SF,1000000.0,915996.0,-84004.0,-8.4004,3120.0,156.0
KQ.m@CZCE.UR,1000000.0,934830.0,-65170.0,-6.517,-579.9999999999227,640.0
KQ.m@CZCE.SA,1000000.0,739657.9999999999,-260342.00000000012,-26.034200000000013,420.0,147.0
KQ.m@CZCE.PK,1000000.0,988848.0,-11152.0,-1.1152,0.0,0.0
