symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,956594.2119999998,-43405.788000000175,-4.340578800000017,0.0,0.0
KQ.m@SHFE.cu,1000000.0,915168.3600000013,-84831.63999999873,-8.483163999999874,0.0,25.71
KQ.m@SHFE.al,1000000.0,982937.0,-17063.0,-1.7063,0.0,0.0
KQ.m@SHFE.zn,1000000.0,1018890.0,18890.0,1.889,0.0,0.0
KQ.m@SHFE.pb,1000000.0,977626.5359999998,-22373.464000000153,-2.2373464000000154,0.0,0.0
KQ.m@SHFE.ni,1000000.0,896124.0,-103876.0,-10.387599999999999,0.0,0.0
KQ.m@SHFE.sn,1000000.0,996767.0,-3233.0,-0.32330000000000003,-4020.0,9.0
KQ.m@SHFE.au,1000000.0,1090750.0000000058,90750.00000000582,9.075000000000582,-3240.000000000009,20.0
KQ.m@SHFE.ag,1000000.0,992456.6440000004,-7543.355999999563,-0.7543355999999563,0.0,28.194
KQ.m@SHFE.ru,1000000.0,970310.8320000004,-29689.167999999598,-2.9689167999999597,0.0,0.0
KQ.m@SHFE.fu,1000000.0,895009.4800000011,-104990.51999999885,-10.499051999999885,-101880.0,73.566
KQ.m@SHFE.bu,1000000.0,822746.1799999999,-177253.82000000007,-17.725382000000007,0.0,67.504
KQ.m@SHFE.hc,1000000.0,971556.1699999997,-28443.830000000307,-2.8443830000000307,0.0,0.0
KQ.m@SHFE.sp,1000000.0,966426.8400000001,-33573.159999999916,-3.3573159999999915,0.0,39.872
KQ.m@SHFE.ss,1000000.0,970010.9599999993,-29989.040000000736,-2.9989040000000737,0.0,0.0
KQ.m@DCE.i,1000000.0,1013755.22,13755.219999999972,1.3755219999999972,0.0,0.0
KQ.m@DCE.j,1000000.0,916004.4679999999,-83995.53200000012,-8.399553200000012,0.0,0.0
KQ.m@DCE.jm,1000000.0,326688.9544000002,-673311.0455999998,-67.33110455999999,0.0,0.0
KQ.m@DCE.a,1000000.0,1040468.0,40468.0,4.046799999999999,0.0,0.0
KQ.m@DCE.b,1000000.0,975800.0,-24200.0,-2.42,-2640.0,44.0
KQ.m@DCE.m,1000000.0,942445.0,-57555.0,-5.7555000000000005,-4860.0,40.5
KQ.m@DCE.y,1000000.0,976577.5,-23422.5,-2.34225,0.0,22.5
KQ.m@DCE.p,1000000.0,988420.0,-11580.0,-1.158,0.0,20.0
KQ.m@DCE.c,1000000.0,989498.4000000001,-10501.59999999986,-1.0501599999999862,0.0,0.0
KQ.m@DCE.cs,1000000.0,985064.0,-14936.0,-1.4936,0.0,0.0
KQ.m@DCE.l,1000000.0,718641.0,-281359.0,-28.135900000000003,-62300.0,28.0
KQ.m@DCE.v,1000000.0,-1091266.0,-2091266.0,-209.1266,0.0,0.0
KQ.m@DCE.pp,1000000.0,817787.9779999999,-182212.0220000001,-18.22120220000001,-62020.0,37.190999999999995
KQ.m@DCE.eg,1000000.0,629929.9999999999,-370070.0000000001,-37.00700000000001,-94117.79220779226,220.0
KQ.m@DCE.eb,1000000.0,983159.0,-16841.0,-1.6841,0.0,126.0
KQ.m@DCE.pg,1000000.0,979968.0,-20032.0,-2.0032,2660.0,114.0
KQ.m@DCE.jd,1000000.0,1009434.8820000004,9434.882000000449,0.943488200000045,0.0,0.0
KQ.m@DCE.lh,1000000.0,1036931.3600000001,36931.3600000001,3.69313600000001,0.0,0.0
KQ.m@CZCE.SR,1000000.0,968880.0,-31120.0,-3.1119999999999997,0.0,0.0
KQ.m@CZCE.CF,1000000.0,961533.1999999997,-38466.80000000028,-3.846680000000028,0.0,0.0
KQ.m@CZCE.TA,1000000.0,482756.0,-517244.0,-51.7244,0.0,192.0
KQ.m@CZCE.MA,1000000.0,-61904.0,-1061904.0,-106.1904,0.0,646.0
