symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,946090.2179999984,-53909.782000001636,-5.390978200000164,-920.0,364.067
KQ.m@SHFE.cu,1000000.0,935156.9150000045,-64843.08499999554,-6.484308499999554,-2650.0,50.65
KQ.m@SHFE.al,1000000.0,1004454.0,4454.0,0.44539999999999996,-4550.0,42.0
KQ.m@SHFE.zn,1000000.0,1013129.0,13129.0,1.3129,0.0,21.0
KQ.m@SHFE.pb,1000000.0,961482.071999998,-38517.92800000205,-3.8517928000002053,0.0,13.336
KQ.m@SHFE.ni,1000000.0,862756.0,-137244.0,-13.724400000000001,-1360.0,12.0
KQ.m@SHFE.sn,1000000.0,988897.0,-11103.0,-1.1103,-8510.0,6.0
KQ.m@SHFE.au,1000000.0,1210670.000000003,210670.00000000303,21.067000000000302,-180.00000000006366,20.0
KQ.m@SHFE.ag,1000000.0,1189713.318250001,189713.31825000094,18.971331825000096,5175.0,80.94149999999999
KQ.m@SHFE.ru,1000000.0,979853.1875000014,-20146.812499998603,-2.0146812499998603,-7800.0,93.447
KQ.m@SHFE.fu,1000000.0,937118.0975000006,-62881.902499999385,-6.288190249999938,-107540.0,81.22500000000001
KQ.m@SHFE.bu,1000000.0,959504.7560000012,-40495.243999998784,-4.0495243999998785,0.0,0.0
KQ.m@SHFE.hc,1000000.0,949907.7459999984,-50092.25400000159,-5.009225400000158,1200.0,135.6
KQ.m@SHFE.sp,1000000.0,929548.9840000009,-70451.01599999913,-7.045101599999913,-2700.0,37.26
KQ.m@SHFE.ss,1000000.0,946423.4025,-53576.59750000003,-5.357659750000003,875.0,76.825
KQ.m@DCE.i,1000000.0,998273.350000001,-1726.6499999989755,-0.17266499999989757,0.0,0.0
KQ.m@DCE.j,1000000.0,828087.4079999961,-171912.5920000039,-17.191259200000392,-14100.0,91.584
KQ.m@DCE.jm,1000000.0,200214.98800000062,-799785.0119999994,-79.97850119999994,-10770.0,68.02380000000001
KQ.m@DCE.a,1000000.0,1056902.0,56902.0,5.6902,-950.0,114.0
KQ.m@DCE.b,1000000.0,1024582.9999999999,24582.999999999884,2.4582999999999884,-2760.0,46.0
KQ.m@DCE.m,1000000.0,1070386.5,70386.5,7.0386500000000005,-5580.0,93.0
KQ.m@DCE.y,1000000.0,1000182.5,182.5,0.01825,-18090.0,45.0
KQ.m@DCE.p,1000000.0,999265.0,-735.0,-0.0735,-27360.0,60.0
KQ.m@DCE.c,1000000.0,1018935.6000000016,18935.600000001607,1.8935600000001607,-2160.0,86.39999999999999
KQ.m@DCE.cs,1000000.0,963084.0,-36916.0,-3.6915999999999998,0.0,0.0
KQ.m@DCE.l,1000000.0,-18941373.0,-19941373.0,-1994.1372999999999,0.0,1854.0
KQ.m@DCE.v,1000000.0,-365596.0,-1365596.0,-136.5596,0.0,0.0
KQ.m@DCE.pp,1000000.0,-23039332.262400016,-24039332.262400016,-2403.9332262400017,0.0,6687.1728
KQ.m@DCE.eg,1000000.0,-16511726.0,-17511726.0,-1751.1725999999999,0.0,5328.0
KQ.m@DCE.eb,1000000.0,1012441.0,12441.0,1.2441,-19435.0,264.0
KQ.m@DCE.pg,1000000.0,1022954.0,22954.0,2.2954,-4940.0,456.0
KQ.m@DCE.jd,1000000.0,1010140.895000001,10140.89500000095,1.014089500000095,50.0,10.473
KQ.m@DCE.lh,1000000.0,1099392.1280000005,99392.12800000049,9.93921280000005,0.0,0.0
KQ.m@CZCE.SR,1000000.0,968834.0,-31166.0,-3.1166,0.0,0.0
KQ.m@CZCE.CF,1000000.0,902489.8999999997,-97510.10000000033,-9.751010000000033,0.0,0.0
KQ.m@CZCE.TA,1000000.0,-1287762.0,-2287762.0,-228.7762,0.0,0.0
KQ.m@CZCE.MA,1000000.0,-2760084.0,-3760084.0,-376.0084,0.0,0.0
