symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,1034071.8949999999,34071.8949999999,3.40718949999999,-250.0,157.15
KQ.m@SHFE.cu,1000000.0,921817.6850000017,-78182.31499999831,-7.818231499999831,0.0,0.0
KQ.m@SHFE.al,1000000.0,984857.0,-15143.0,-1.5143,0.0,0.0
KQ.m@SHFE.zn,1000000.0,809683.0,-190317.0,-19.031699999999997,2375.0,30.0
KQ.m@SHFE.pb,1000000.0,991199.863999999,-8800.136000000988,-0.8800136000000989,0.0,0.0
KQ.m@SHFE.ni,1000000.0,1031094.0,31094.0,3.1094,0.0,0.0
KQ.m@SHFE.sn,1000000.0,934469.0,-65531.0,-6.553100000000001,0.0,0.0
KQ.m@SHFE.au,1000000.0,1366009.9999999977,366009.9999999977,36.600999999999765,0.0,0.0
KQ.m@SHFE.ag,1000000.0,1104860.2127499997,104860.21274999972,10.48602127499997,0.0,0.0
KQ.m@SHFE.ru,1000000.0,1011257.3610000003,11257.361000000266,1.1257361000000266,0.0,0.0
KQ.m@SHFE.fu,1000000.0,530910.3110000007,-469089.6889999993,-46.908968899999934,0.0,0.0
KQ.m@SHFE.bu,1000000.0,701716.3400000001,-298283.6599999999,-29.82836599999999,0.0,0.0
KQ.m@SHFE.hc,1000000.0,981863.9380000001,-18136.061999999918,-1.8136061999999917,-630.0,142.38
KQ.m@SHFE.sp,1000000.0,998233.1359999999,-1766.8640000000596,-0.17668640000000596,0.0,0.0
KQ.m@SHFE.ss,1000000.0,989127.1324999997,-10872.867500000284,-1.0872867500000283,0.0,0.0
KQ.m@DCE.i,1000000.0,986919.5,-13080.5,-1.30805,0.0,0.0
KQ.m@DCE.j,1000000.0,980642.0799999993,-19357.92000000074,-1.935792000000074,0.0,0.0
KQ.m@DCE.jm,1000000.0,184095.46659999993,-815904.5334000001,-81.59045334,0.0,0.0
KQ.m@DCE.a,1000000.0,1145196.0,145196.0,14.519599999999999,0.0,0.0
KQ.m@DCE.b,1000000.0,935689.0,-64311.0,-6.431099999999999,0.0,0.0
KQ.m@DCE.m,1000000.0,933081.5,-66918.5,-6.6918500000000005,0.0,0.0
KQ.m@DCE.y,1000000.0,972582.5,-27417.5,-2.74175,0.0,0.0
KQ.m@DCE.p,1000000.0,1027545.0,27545.0,2.7545,-30480.0,80.0
KQ.m@DCE.c,1000000.0,1008341.1999999998,8341.199999999837,0.8341199999999837,0.0,0.0
KQ.m@DCE.cs,1000000.0,998542.0,-1458.0,-0.1458,0.0,0.0
KQ.m@DCE.l,1000000.0,93498.0,-906502.0,-90.6502,0.0,0.0
KQ.m@DCE.v,1000000.0,1230521.0,230521.0,23.0521,0.0,0.0
KQ.m@DCE.pp,1000000.0,1746659.0992,746659.0992,74.66590992,0.0,104.0592
KQ.m@DCE.eg,1000000.0,1620154.0,620154.0,62.0154,0.0,112.0
KQ.m@DCE.eb,1000000.0,986917.0,-13083.0,-1.3083,0.0,0.0
KQ.m@DCE.pg,1000000.0,969946.0,-30054.0,-3.0054000000000003,0.0,0.0
KQ.m@DCE.jd,1000000.0,995703.5915000003,-4296.40849999967,-0.429640849999967,0.0,0.0
KQ.m@DCE.lh,1000000.0,1061312.1120000002,61312.1120000002,6.13121120000002,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1033109.0,33109.0,3.3109,3060.0,111.0
KQ.m@CZCE.CF,1000000.0,1046049.2999999996,46049.29999999958,4.604929999999958,-2475.0,94.6
KQ.m@CZCE.TA,1000000.0,836577.0,-163423.0,-16.3423,0.0,0.0
KQ.m@CZCE.MA,1000000.0,433550.0,-566450.0,-56.645,0.0,0.0
KQ.m@CZCE.FG,1000000.0,892381.0,-107619.0,-10.7619,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1082035.0,82035.0,8.2035,0.0,0.0
KQ.m@CZCE.OI,1000000.0,910202.0,-89798.0,-8.979800000000001,-16590.0,28.0
KQ.m@CZCE.SM,1000000.0,859020.0,-140980.0,-14.097999999999999,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1033517.0,33517.0,3.3516999999999997,5800.0,348.0
KQ.m@CZCE.UR,1000000.0,937805.0,-62195.0,-6.2195,0.0,0.0
KQ.m@CZCE.SA,1000000.0,1043533.0,43533.0,4.3533,0.0,3.5
KQ.m@CZCE.PK,1000000.0,1055760.0,55760.0,5.576,0.0,0.0
KQ.m@CZCE.AP,1000000.0,977350.0,-22650.0,-2.265,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1012132.0,12132.0,1.2132,0.0,0.0
KQ.m@INE.sc,1000000.0,548979.9999999988,-451020.00000000116,-45.10200000000012,0.0,0.0
KQ.m@INE.lu,1000000.0,1185278.4033000001,185278.40330000012,18.52784033000001,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,1061561.6519799961,61561.651979996124,6.156165197999612,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,1133832.4436799977,133832.4436799977,13.383244367999769,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,989477.9628400034,-10522.037159996573,-1.0522037159996573,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,1007238.2967199957,7238.2967199956765,0.7238296719995677,0.0,0.0
KQ.m@CFFEX.T,1000000.0,988940.0000000051,-11059.999999994878,-1.1059999999994878,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,992251.0000000031,-7748.999999996857,-0.7748999999996856,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,1000826.0,826.0,0.0826,0.0,0.0
