symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,984654.4279999989,-15345.572000001092,-1.534557200000109,720.0,303.55199999999996
KQ.m@SHFE.cu,1000000.0,1060684.0100000035,60684.0100000035,6.06840100000035,-11000.0,75.975
KQ.m@SHFE.al,1000000.0,1031250.0,31250.0,3.125,0.0,0.0
KQ.m@SHFE.zn,1000000.0,888448.0,-111552.0,-11.1552,0.0,0.0
KQ.m@SHFE.pb,1000000.0,969437.6119999978,-30562.388000002247,-3.0562388000002247,-500.0,26.672
KQ.m@SHFE.ni,1000000.0,1005036.0,5036.0,0.5035999999999999,0.0,12.0
KQ.m@SHFE.sn,1000000.0,1327928.0,327928.0,32.7928,-17020.0,12.0
KQ.m@SHFE.au,1000000.0,1160050.0000000056,160050.0000000056,16.005000000000557,0.0,10.0
KQ.m@SHFE.ag,1000000.0,868291.5385000008,-131708.46149999916,-13.170846149999916,-28260.0,53.961
KQ.m@SHFE.ru,1000000.0,997837.6130000015,-2162.3869999984745,-0.21623869999984743,400.0,62.298
KQ.m@SHFE.fu,1000000.0,1023558.5004999998,23558.50049999985,2.355850049999985,-118860.0,89.775
KQ.m@SHFE.bu,1000000.0,885665.1479999999,-114334.85200000007,-11.433485200000007,-55930.0,149.464
KQ.m@SHFE.hc,1000000.0,943847.0899999987,-56152.91000000131,-5.6152910000001315,0.0,0.0
KQ.m@SHFE.sp,1000000.0,987910.1360000011,-12089.863999998895,-1.2089863999998895,0.0,39.744
KQ.m@SHFE.ss,1000000.0,1013327.0549999997,13327.054999999702,1.3327054999999703,-2375.0,38.4125
KQ.m@DCE.i,1000000.0,900776.4500000007,-99223.54999999935,-9.922354999999934,-1050.0,56.52499999999999
KQ.m@DCE.j,1000000.0,889657.2639999969,-110342.73600000306,-11.034273600000306,-3150.0,91.584
KQ.m@DCE.jm,1000000.0,634737.792400001,-365262.20759999903,-36.52622075999991,-45570.0,588.2058
KQ.m@DCE.a,1000000.0,1082912.0,82912.0,8.2912,-6460.0,38.0
KQ.m@DCE.b,1000000.0,942021.0,-57979.0,-5.7979,-4620.0,84.0
KQ.m@DCE.m,1000000.0,984757.5,-15242.5,-1.52425,0.0,43.5
KQ.m@DCE.y,1000000.0,976657.5,-23342.5,-2.33425,-18090.0,45.0
KQ.m@DCE.p,1000000.0,1099725.0,99725.0,9.9725,80.0,40.0
KQ.m@DCE.c,1000000.0,986227.5999999999,-13772.40000000014,-1.377240000000014,0.0,42.0
KQ.m@DCE.cs,1000000.0,1017982.0,17982.0,1.7982000000000002,-1860.0,91.5
KQ.m@DCE.l,1000000.0,1290722.0,290722.0,29.0722,0.0,0.0
KQ.m@DCE.v,1000000.0,1289291.0000000002,289291.00000000023,28.929100000000023,0.0,0.0
KQ.m@DCE.pp,1000000.0,107525.77439999965,-892474.2256000004,-89.24742256000003,0.0,0.0
KQ.m@DCE.eg,1000000.0,594174.0,-405826.0,-40.5826,0.0,0.0
KQ.m@DCE.eb,1000000.0,986402.0,-13598.0,-1.3598000000000001,-17745.0,252.0
KQ.m@DCE.pg,1000000.0,931612.0,-68388.0,-6.838800000000001,0.0,0.0
KQ.m@DCE.jd,1000000.0,974660.9490000007,-25339.05099999928,-2.533905099999928,0.0,0.0
KQ.m@DCE.lh,1000000.0,1066147.344,66147.34400000004,6.614734400000004,0.0,148.88
KQ.m@CZCE.SR,1000000.0,1000120.0,120.0,0.012,0.0,0.0
KQ.m@CZCE.CF,1000000.0,930144.5999999987,-69855.4000000013,-6.98554000000013,0.0,0.0
KQ.m@CZCE.TA,1000000.0,311921.99999999977,-688078.0000000002,-68.80780000000001,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1337073.9999999998,337073.99999999977,33.70739999999998,0.0,66.0
KQ.m@CZCE.FG,1000000.0,1006932.0,6932.0,0.6931999999999999,0.0,0.0
KQ.m@CZCE.RM,1000000.0,994706.5,-5293.5,-0.52935,-3700.0,111.0
KQ.m@CZCE.OI,1000000.0,1035856.0,35856.0,3.5856,0.0,0.0
KQ.m@CZCE.SM,1000000.0,1010034.0,10034.0,1.0033999999999998,0.0,0.0
KQ.m@CZCE.SF,1000000.0,1076487.0,76487.0,7.6487,8990.0,354.0
KQ.m@CZCE.UR,1000000.0,898930.0,-101070.0,-10.107,-8000.0,200.0
KQ.m@CZCE.SA,1000000.0,944520.5,-55479.5,-5.54795,0.0,94.5
KQ.m@CZCE.PK,1000000.0,1022314.0,22314.0,2.2314,-1600.0,64.0
KQ.m@CZCE.AP,1000000.0,1220160.0,220160.0,22.016,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,917626.0,-82374.0,-8.237400000000001,0.0,0.0
KQ.m@INE.sc,1000000.0,926299.9999999995,-73700.00000000047,-7.370000000000046,0.0,0.0
KQ.m@INE.lu,1000000.0,1361461.933900001,361461.933900001,36.1461933900001,0.0,0.0
KQ.m@CFFEX.IF,1000000.0,928068.2372200013,-71931.76277999871,-7.193176277999871,0.0,0.0
KQ.m@CFFEX.IC,1000000.0,1000139.6146399985,139.61463999853004,0.013961463999853005,0.0,0.0
KQ.m@CFFEX.IH,1000000.0,1080691.842339999,80691.84233999904,8.069184233999904,-12839.999999999918,40.68792
KQ.m@CFFEX.IM,1000000.0,986712.0168799978,-13287.983120002202,-1.3287983120002202,0.0,0.0
KQ.m@CFFEX.T,1000000.0,972960.0000000101,-27039.999999989872,-2.703999999998987,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,975202.0000000092,-24797.999999990803,-2.4797999999990803,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,996304.0000000113,-3695.9999999887077,-0.3695999999988708,0.0,0.0
