symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,998516.5359999998,-1483.4640000001527,-0.14834640000001528,-240.0,150.86399999999998
KQ.m@SHFE.cu,1000000.0,931966.8650000019,-68033.13499999815,-6.803313499999815,-7800.0,101.3
KQ.m@SHFE.al,1000000.0,947066.0,-52934.0,-5.2934,0.0,0.0
KQ.m@SHFE.zn,1000000.0,1147482.0,147482.0,14.7482,0.0,0.0
KQ.m@SHFE.pb,1000000.0,988601.6719999997,-11398.328000000329,-1.1398328000000328,0.0,0.0
KQ.m@SHFE.ni,1000000.0,894852.0,-105148.0,-10.514800000000001,-4880.0,24.0
KQ.m@SHFE.sn,1000000.0,907779.0,-92221.0,-9.2221,-8510.0,6.0
KQ.m@SHFE.au,1000000.0,1101189.9999999967,101189.99999999674,10.118999999999675,0.0,0.0
KQ.m@SHFE.ag,1000000.0,770030.809000001,-229969.19099999894,-22.996919099999893,-28260.0,53.961
KQ.m@SHFE.ru,1000000.0,1005719.6590000002,5719.659000000218,0.5719659000000218,0.0,0.0
KQ.m@SHFE.fu,1000000.0,928877.2175000005,-71122.7824999995,-7.112278249999951,-101880.0,79.0875
KQ.m@SHFE.bu,1000000.0,765947.7040000008,-234052.29599999916,-23.405229599999917,-46060.0,127.484
KQ.m@SHFE.hc,1000000.0,998245.0719999999,-1754.9280000000726,-0.17549280000000728,0.0,0.0
KQ.m@SHFE.sp,1000000.0,885157.5920000001,-114842.40799999994,-11.484240799999993,0.0,0.0
KQ.m@SHFE.ss,1000000.0,977111.9374999999,-22888.062500000116,-2.2888062500000115,-1125.0,76.825
KQ.m@DCE.i,1000000.0,994218.6000000002,-5781.39999999979,-0.5781399999999791,0.0,0.0
KQ.m@DCE.j,1000000.0,983854.8959999996,-16145.1040000004,-1.6145104000000399,0.0,0.0
KQ.m@DCE.jm,1000000.0,718689.244,-281310.75600000005,-28.131075600000006,0.0,0.0
KQ.m@DCE.a,1000000.0,938638.0,-61362.0,-6.1362,0.0,0.0
KQ.m@DCE.b,1000000.0,1066714.0,66714.0,6.671399999999999,-13440.0,48.0
KQ.m@DCE.m,1000000.0,1081086.5,81086.5,8.10865,0.0,0.0
KQ.m@DCE.y,1000000.0,1017227.5,17227.5,1.72275,-18090.0,45.0
KQ.m@DCE.p,1000000.0,1062572.5,62572.5,6.25725,-35370.0,90.0
KQ.m@DCE.c,1000000.0,1034891.2000000004,34891.20000000042,3.489120000000042,0.0,0.0
KQ.m@DCE.cs,1000000.0,980291.5,-19708.5,-1.97085,0.0,0.0
KQ.m@DCE.l,1000000.0,741618.0,-258382.0,-25.8382,0.0,0.0
KQ.m@DCE.v,1000000.0,829550.0,-170450.0,-17.044999999999998,0.0,50.0
KQ.m@DCE.pp,1000000.0,1499490.1495999992,499490.1495999992,49.94901495999992,0.0,84.8904
KQ.m@DCE.eg,1000000.0,773910.0,-226090.0,-22.609,0.0,64.0
KQ.m@DCE.eb,1000000.0,1031745.0,31745.0,3.1745,-19435.0,270.0
KQ.m@DCE.pg,1000000.0,944320.0,-55680.0,-5.568,-180.0,6.0
KQ.m@DCE.jd,1000000.0,1004361.0665000003,4361.066500000306,0.4361066500000306,0.0,0.0
KQ.m@DCE.lh,1000000.0,1141527.7119999998,141527.71199999982,14.152771199999984,0.0,0.0
KQ.m@CZCE.SR,1000000.0,936311.0,-63689.0,-6.3689,0.0,0.0
KQ.m@CZCE.CF,1000000.0,993006.7999999998,-6993.200000000186,-0.6993200000000186,-2500.0,86.0
KQ.m@CZCE.TA,1000000.0,576130.0,-423870.0,-42.387,0.0,111.0
KQ.m@CZCE.MA,1000000.0,1073048.0,73048.0,7.3048,0.0,108.0
KQ.m@CZCE.FG,1000000.0,1012507.0,12507.0,1.2507000000000001,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1027920.5,27920.5,2.79205,0.0,0.0
KQ.m@CZCE.OI,1000000.0,1051498.0,51498.0,5.1498,-2880.0,34.0
KQ.m@CZCE.SM,1000000.0,1021894.0,21894.0,2.1894,-12480.0,156.0
KQ.m@CZCE.SF,1000000.0,825954.0,-174046.0,-17.404600000000002,-7680.0,144.0
KQ.m@CZCE.UR,1000000.0,938765.0,-61235.0,-6.1235,0.0,0.0
KQ.m@CZCE.SA,1000000.0,1079251.5,79251.5,7.92515,0.0,0.0
KQ.m@CZCE.PK,1000000.0,993094.0,-6906.0,-0.6906,0.0,0.0
KQ.m@CZCE.AP,1000000.0,924360.0,-75640.0,-7.564,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,970656.0,-29344.0,-2.9343999999999997,0.0,0.0
KQ.m@INE.sc,1000000.0,734340.0000000007,-265659.9999999993,-26.565999999999928,-100000.0,40.0
KQ.m@INE.lu,1000000.0,1008600.9647000005,8600.964700000477,0.8600964700000477,-126820.0,17.6004
KQ.m@CFFEX.IF,1000000.0,1038226.5112599973,38226.51125999726,3.8226511259997267,-21479.999999999836,65.77356
KQ.m@CFFEX.IC,1000000.0,930978.9912799923,-69021.00872000773,-6.902100872000773,-45479.99999999993,76.06928
KQ.m@CFFEX.IH,1000000.0,1036477.3100800004,36477.31008000043,3.6477310080000427,0.0,0.0
KQ.m@CFFEX.IM,1000000.0,791720.0125599965,-208279.98744000355,-20.827998744000357,-36719.99999999989,75.94416
KQ.m@CFFEX.T,1000000.0,1008116.0000000026,8116.000000002561,0.811600000000256,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,986869.0000000021,-13130.999999997905,-1.3130999999997905,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,997806.0000000051,-2193.9999999948777,-0.21939999999948775,0.0,0.0
