symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,980540.3199999994,-19459.680000000633,-1.9459680000000634,2760.0,294.085
KQ.m@SHFE.cu,1000000.0,987112.2750000029,-12887.724999997066,-1.2887724999997066,-5700.0,50.65
KQ.m@SHFE.al,1000000.0,971543.0,-28457.0,-2.8457,-5775.0,42.0
KQ.m@SHFE.zn,1000000.0,1062985.0,62985.0,6.2985,-7000.0,42.0
KQ.m@SHFE.pb,1000000.0,988677.3399999993,-11322.660000000731,-1.132266000000073,-1600.0,53.344
KQ.m@SHFE.ni,1000000.0,958132.0,-41868.0,-4.1868,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1174298.0,174298.0,17.4298,-25200.0,12.0
KQ.m@SHFE.au,1000000.0,1217830.0000000093,217830.0000000093,21.783000000000932,-34640.0000000001,20.0
KQ.m@SHFE.ag,1000000.0,861614.1580000006,-138385.84199999936,-13.838584199999937,-28350.0,53.961
KQ.m@SHFE.ru,1000000.0,965047.4870000009,-34952.512999999104,-3.4952512999999104,0.0,0.0
KQ.m@SHFE.fu,1000000.0,946557.1895000007,-53442.81049999932,-5.344281049999932,-102060.0,79.0875
KQ.m@SHFE.bu,1000000.0,933817.2959999996,-66182.70400000038,-6.618270400000037,-59220.0,158.256
KQ.m@SHFE.hc,1000000.0,975816.5259999991,-24183.47400000086,-2.418347400000086,0.0,0.0
KQ.m@SHFE.sp,1000000.0,954118.0760000005,-45881.92399999953,-4.588192399999953,0.0,0.0
KQ.m@SHFE.ss,1000000.0,952025.1074999998,-47974.89250000019,-4.7974892500000195,0.0,0.0
KQ.m@DCE.i,1000000.0,1011580.5999999999,11580.59999999986,1.158059999999986,0.0,0.0
KQ.m@DCE.j,1000000.0,945696.591999998,-54303.40800000203,-5.430340800000203,0.0,0.0
KQ.m@DCE.jm,1000000.0,507643.26160000055,-492356.73839999945,-49.23567383999995,0.0,0.0
KQ.m@DCE.a,1000000.0,961532.0,-38468.0,-3.8468,0.0,0.0
KQ.m@DCE.b,1000000.0,1045850.0,45850.0,4.585,0.0,1.0
KQ.m@DCE.m,1000000.0,1133801.5,133801.5,13.380149999999999,0.0,1.5
KQ.m@DCE.y,1000000.0,1022322.5,22322.5,2.23225,0.0,0.0
KQ.m@DCE.p,1000000.0,973670.0,-26330.0,-2.633,-240.0,40.0
KQ.m@DCE.c,1000000.0,1011147.2000000011,11147.200000001118,1.1147200000001118,0.0,0.0
KQ.m@DCE.cs,1000000.0,958915.5,-41084.5,-4.10845,-580.0,87.0
KQ.m@DCE.l,1000000.0,739988.0,-260012.0,-26.0012,0.0,0.0
KQ.m@DCE.v,1000000.0,808597.0,-191403.0,-19.1403,0.0,0.0
KQ.m@DCE.pp,1000000.0,1700884.4735999997,700884.4735999997,70.08844735999998,0.0,0.0
KQ.m@DCE.eg,1000000.0,207856.0,-792144.0,-79.2144,0.0,0.0
KQ.m@DCE.eb,1000000.0,1017911.0,17911.0,1.7911,-33695.0,270.0
KQ.m@DCE.pg,1000000.0,962772.0,-37228.0,-3.7228,0.0,0.0
KQ.m@DCE.jd,1000000.0,921541.2130000005,-78458.78699999955,-7.845878699999955,0.0,0.0
KQ.m@DCE.lh,1000000.0,1094874.7039999997,94874.70399999968,9.487470399999967,0.0,0.0
KQ.m@CZCE.SR,1000000.0,1048701.0,48701.0,4.8701,0.0,0.0
KQ.m@CZCE.CF,1000000.0,902708.3,-97291.69999999995,-9.729169999999995,0.0,0.0
KQ.m@CZCE.TA,1000000.0,876643.0,-123357.0,-12.3357,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1412554.0,412554.0,41.255399999999995,0.0,0.0
KQ.m@CZCE.FG,1000000.0,912827.0,-87173.0,-8.7173,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1139528.0,139528.0,13.952800000000002,0.0,0.0
KQ.m@CZCE.OI,1000000.0,918676.0,-81324.0,-8.132399999999999,0.0,0.0
KQ.m@CZCE.SM,1000000.0,903532.0,-96468.0,-9.646799999999999,0.0,0.0
KQ.m@CZCE.SF,1000000.0,950762.0,-49238.0,-4.9238,7800.0,156.0
KQ.m@CZCE.UR,1000000.0,933160.0,-66840.0,-6.683999999999999,0.0,0.0
KQ.m@CZCE.SA,1000000.0,939597.0,-60403.0,-6.0403,0.0,0.0
KQ.m@CZCE.PK,1000000.0,994528.0,-5472.0,-0.5472,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1024580.0,24580.0,2.458,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1007268.0,7268.0,0.7268,0.0,0.0
KQ.m@INE.sc,1000000.0,684959.999999999,-315040.00000000105,-31.504000000000104,0.0,0.0
KQ.m@INE.lu,1000000.0,730045.0151000014,-269954.98489999864,-26.995498489999864,-83520.0,12.2225
KQ.m@CFFEX.IF,1000000.0,841972.3074999956,-158027.69250000443,-15.802769250000443,-39840.00000000006,65.77356
KQ.m@CFFEX.IC,1000000.0,1165721.9306399988,165721.93063999875,16.572193063999876,-61800.0,76.06928
KQ.m@CFFEX.IH,1000000.0,979832.2656400059,-20167.734359994065,-2.0167734359994065,-21539.99999999992,40.68792
KQ.m@CFFEX.IM,1000000.0,802509.3522399936,-197490.64776000637,-19.749064776000637,-52319.99999999989,75.94416
KQ.m@CFFEX.T,1000000.0,950804.0000000132,-49195.999999986845,-4.919599999998685,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,986221.0000000012,-13778.999999998836,-1.3778999999998836,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,987838.0000000027,-12161.999999997322,-1.2161999999997322,0.0,0.0
