symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,887636.5449999826,-112363.45500001742,-11.236345500001741,-1050.0,334.005
KQ.m@SHFE.cu,1000000.0,999404.9550000047,-595.0449999952689,-0.05950449999952689,3750.0,101.3
KQ.m@SHFE.al,1000000.0,954297.0,-45703.0,-4.5703000000000005,-1225.0,156.0
KQ.m@SHFE.zn,1000000.0,938900.0,-61100.0,-6.11,-3450.0,144.0
KQ.m@SHFE.pb,1000000.0,962107.2639999953,-37892.73600000469,-3.7892736000004685,-3200.0,160.03200000000004
KQ.m@SHFE.ni,1000000.0,1035472.0,35472.0,3.5471999999999997,0.0,0.0
KQ.m@SHFE.sn,1000000.0,952090.0,-47910.0,-4.791,9620.0,12.0
KQ.m@SHFE.au,1000000.0,946200.0000000041,-53799.999999995925,-5.379999999999593,-26500.000000000226,160.0
KQ.m@SHFE.ag,1000000.0,993046.7065000008,-6953.293499999214,-0.6953293499999214,-4110.0,53.961
KQ.m@SHFE.ru,1000000.0,940534.1140000052,-59465.88599999482,-5.946588599999482,-600.0,186.894
KQ.m@SHFE.fu,1000000.0,871811.7620000023,-128188.23799999768,-12.818823799999768,-3780.0,76.95
KQ.m@SHFE.bu,1000000.0,817324.4800000058,-182675.5199999942,-18.26755199999942,3000.0,131.88
KQ.m@SHFE.hc,1000000.0,871912.9689999952,-128087.03100000485,-12.808703100000486,959.9999999999181,461.03999999999985
KQ.m@SHFE.sp,1000000.0,890334.8240000077,-109665.1759999923,-10.96651759999923,-5040.0,208.656
KQ.m@SHFE.ss,1000000.0,970543.4450000003,-29456.554999999702,-2.9456554999999702,-750.0,384.12500000000006
KQ.m@DCE.i,1000000.0,794608.7000000062,-205391.29999999376,-20.539129999999375,-12000.0,436.04999999999995
KQ.m@DCE.j,1000000.0,949594.1919999806,-50405.8080000194,-5.0405808000019405,3150.0,457.9200000000001
KQ.m@DCE.jm,1000000.0,346731.35200000176,-653268.6479999982,-65.32686479999981,29377.11083295414,960.3359999999998
KQ.m@DCE.a,1000000.0,951052.0,-48948.0,-4.8948,1360.0,68.0
KQ.m@DCE.b,1000000.0,917965.9999999999,-82034.00000000012,-8.203400000000013,-5890.0,82.0
KQ.m@DCE.m,1000000.0,860012.5,-139987.5,-13.99875,760.0000000000273,484.5
KQ.m@DCE.y,1000000.0,946320.0,-53680.0,-5.367999999999999,-13500.0,45.0
KQ.m@DCE.p,1000000.0,958935.0,-41065.0,-4.1065,-3520.0,40.0
KQ.m@DCE.c,1000000.0,885976.7999999999,-114023.20000000007,-11.402320000000007,310.0,669.6000000000001
KQ.m@DCE.cs,1000000.0,884272.0,-115728.0,-11.572799999999999,1300.0,390.0
KQ.m@DCE.l,1000000.0,890607.9999999976,-109392.00000000244,-10.939200000000245,0.0,0.0
KQ.m@DCE.v,1000000.0,1129461.0000000019,129461.00000000186,12.946100000000186,-18562.744748315563,274.0
KQ.m@DCE.pp,1000000.0,880610.364800001,-119389.63519999897,-11.938963519999897,65606.78787878787,87.6288
KQ.m@DCE.eg,1000000.0,871894.0000000023,-128105.99999999767,-12.810599999999766,77288.11594202902,112.0
KQ.m@DCE.eb,1000000.0,1008838.0,8838.0,0.8838,0.0,0.0
KQ.m@DCE.pg,1000000.0,943052.0,-56948.0,-5.6948,0.0,0.0
KQ.m@DCE.jd,1000000.0,732332.9400000044,-267667.05999999563,-26.766705999999562,180.0,942.5700000000002
KQ.m@DCE.lh,1000000.0,903729.0880000005,-96270.91199999955,-9.627091199999954,3600.0,297.76
KQ.m@CZCE.SR,1000000.0,908104.0,-91896.0,-9.1896,-1020.0,204.0
KQ.m@CZCE.CF,1000000.0,903722.0999999989,-96277.90000000107,-9.627790000000108,450.0,425.69999999999993
KQ.m@CZCE.TA,1000000.0,759382.0000000006,-240617.99999999942,-24.06179999999994,0.0,0.0
KQ.m@CZCE.MA,1000000.0,1013727.9999999991,13727.999999999069,1.372799999999907,86825.47169811312,100.0
KQ.m@CZCE.FG,1000000.0,678267.9999999999,-321732.0000000001,-32.173200000000016,-1680.0000000000136,513.0
KQ.m@CZCE.RM,1000000.0,814166.0,-185834.0,-18.5834,300.0,90.0
KQ.m@CZCE.OI,1000000.0,974042.0,-25958.0,-2.5957999999999997,240.0,160.0
KQ.m@CZCE.SM,1000000.0,845700.0,-154300.0,-15.43,0.0,0.0
KQ.m@CZCE.SF,1000000.0,851956.0,-148044.0,-14.804400000000001,-240.0,216.0
KQ.m@CZCE.UR,1000000.0,758820.0,-241180.0,-24.118000000000002,6480.000000000058,940.0
KQ.m@CZCE.SA,1000000.0,733140.0000000001,-266859.9999999999,-26.685999999999986,2520.0,514.5
KQ.m@CZCE.PK,1000000.0,945852.0,-54148.0,-5.4148000000000005,2550.0,240.0
KQ.m@CZCE.AP,1000000.0,1054360.0000000016,54360.00000000163,5.436000000000163,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,923140.0,-76860.0,-7.686,0.0,0.0
KQ.m@INE.sc,1000000.0,768119.9999999959,-231880.00000000407,-23.188000000000407,-86100.00000000026,240.0
KQ.m@INE.lu,1000000.0,951588.259200001,-48411.74079999898,-4.841174079999898,-8700.0,14.667
