symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.cu,1000000.0,941399.3150000002,-58600.68499999982,-5.860068499999983,0.0,0.0
KQ.m@SHFE.al,1000000.0,894415.0,-105585.0,-10.5585,0.0,0.0
KQ.m@SHFE.zn,1000000.0,999214.0,-786.0,-0.0786,0.0,0.0
KQ.m@SHFE.pb,1000000.0,978260.2679999999,-21739.732000000076,-2.173973200000008,0.0,0.0
KQ.m@SHFE.ni,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.sn,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.au,1000000.0,1098389.9999999842,98389.99999998417,9.838999999998418,-34640.0000000001,20.0
KQ.m@SHFE.ag,1000000.0,1218206.3012499996,218206.30124999955,21.820630124999955,-28260.0,67.45124999999999
KQ.m@SHFE.ru,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.fu,1000000.0,1371873.701,371873.7009999999,37.18737009999999,0.0,6.4125000000000005
KQ.m@SHFE.bu,1000000.0,888882.522,-111117.478,-11.1117478,-46060.0,131.88
KQ.m@SHFE.hc,1000000.0,986418.187,-13581.812999999966,-1.3581812999999965,0.0,0.0
KQ.m@SHFE.sp,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@SHFE.ss,1000000.0,987813.8625,-12186.137499999953,-1.2186137499999954,0.0,0.0
KQ.m@DCE.i,1000000.0,971535.4,-28464.599999999977,-2.8464599999999973,0.0,0.0
KQ.m@DCE.j,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.jm,1000000.0,585987.8907999999,-414012.10920000006,-41.40121092000001,0.0,0.0
KQ.m@DCE.a,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.b,1000000.0,955459.0,-44541.0,-4.4540999999999995,0.0,0.0
KQ.m@DCE.m,1000000.0,951629.5,-48370.5,-4.83705,0.0,0.0
KQ.m@DCE.y,1000000.0,974350.0,-25650.0,-2.565,-18090.0,45.0
KQ.m@DCE.p,1000000.0,947280.0,-52720.0,-5.272,-31200.0,60.0
KQ.m@DCE.c,1000000.0,984319.2,-15680.800000000047,-1.5680800000000046,0.0,0.0
KQ.m@DCE.cs,1000000.0,1030643.5,30643.5,3.06435,0.0,0.0
KQ.m@DCE.l,1000000.0,1074086.0,74086.0,7.4086,0.0,40.0
KQ.m@DCE.v,1000000.0,959232.0,-40768.0,-4.0767999999999995,0.0,0.0
KQ.m@DCE.pp,1000000.0,1075531.5144000002,75531.51440000022,7.553151440000022,0.0,54.768
KQ.m@DCE.eg,1000000.0,668308.0,-331692.0,-33.1692,0.0,0.0
KQ.m@DCE.eb,1000000.0,862792.0,-137208.0,-13.7208,0.0,0.0
KQ.m@DCE.pg,1000000.0,1125606.0,125606.0,12.560599999999999,0.0,0.0
KQ.m@DCE.jd,1000000.0,972991.7135000001,-27008.28649999993,-2.700828649999993,0.0,0.0
KQ.m@DCE.lh,1000000.0,849800.896,-150199.10400000005,-15.019910400000006,0.0,0.0
KQ.m@CZCE.SR,1000000.0,974152.0,-25848.0,-2.5848,0.0,0.0
KQ.m@CZCE.CF,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.TA,1000000.0,1141067.0,141067.0,14.1067,0.0,96.0
KQ.m@CZCE.MA,1000000.0,1891692.0,891692.0,89.1692,0.0,150.0
KQ.m@CZCE.FG,1000000.0,1107929.0,107929.0,10.7929,0.0,0.0
KQ.m@CZCE.RM,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.OI,1000000.0,958560.0,-41440.0,-4.144,340.0,2.0
KQ.m@CZCE.SM,1000000.0,1060396.0,60396.0,6.0396,0.0,0.0
KQ.m@CZCE.SF,1000000.0,960589.0,-39411.0,-3.9411,0.0,87.0
KQ.m@CZCE.UR,1000000.0,954535.0,-45465.0,-4.5465,0.0,0.0
KQ.m@CZCE.SA,1000000.0,964265.5,-35734.5,-3.5734500000000002,0.0,0.0
KQ.m@CZCE.PK,1000000.0,1009888.0,9888.0,0.9887999999999999,0.0,0.0
KQ.m@CZCE.AP,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1000000.0,1028830.0,28830.0,2.883,0.0,0.0
KQ.m@INE.sc,1000000.0,750999.9999999967,-249000.00000000326,-24.900000000000325,-100000.0,40.0
KQ.m@INE.lu,1000000.0,384418.66039999994,-615581.3396000001,-61.558133960000006,-52220.0,6.8446
KQ.m@CFFEX.IF,1000000.0,1029787.1132199997,29787.11321999971,2.978711321999971,0.0,32.88678
KQ.m@CFFEX.IC,1000000.0,1039441.9653600006,39441.96536000061,3.9441965360000615,0.0,38.03464
KQ.m@CFFEX.IH,1000000.0,1011679.6560400003,11679.656040000264,1.1679656040000264,0.0,20.34396
KQ.m@CFFEX.IM,1000000.0,1041362.0279199996,41362.02791999956,4.136202791999956,0.0,37.97208
KQ.m@CFFEX.T,1000000.0,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CFFEX.TF,1000000.0,994891.0000000005,-5108.999999999534,-0.5108999999999534,0.0,0.0
KQ.m@CFFEX.TS,1000000.0,998233.9999999969,-1766.0000000031432,-0.17660000000031434,0.0,0.0
