symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000.0,980614.3219999992,-19385.67800000077,-1.938567800000077,1200.0,152.688
KQ.m@SHFE.cu,1000000.0,994966.0400000019,-5033.9599999981,-0.50339599999981,0.0,0.0
KQ.m@SHFE.al,1000000.0,918242.0,-81758.0,-8.175799999999999,0.0,0.0
KQ.m@SHFE.zn,1000000.0,966756.0,-33244.0,-3.3244000000000002,0.0,0.0
KQ.m@SHFE.pb,1000000.0,991218.1179999975,-8781.882000002544,-0.8781882000002544,0.0,0.0
KQ.m@SHFE.ni,1000000.0,998752.0,-1248.0,-0.1248,0.0,0.0
KQ.m@SHFE.sn,1000000.0,962675.0,-37325.0,-3.7325,-19240.0,9.0
KQ.m@SHFE.au,1000000.0,1104540.0000000044,104540.00000000442,10.454000000000443,-1980.0000000000182,30.0
KQ.m@SHFE.ag,1000000.0,1014690.0580000022,14690.058000002173,1.4690058000002173,6930.0,40.470749999999995
KQ.m@SHFE.ru,1000000.0,1008309.7850000008,8309.785000000848,0.8309785000000849,2800.0,62.298
KQ.m@SHFE.fu,1000000.0,955783.3290000001,-44216.67099999986,-4.421667099999985,0.0,0.0
KQ.m@SHFE.bu,1000000.0,1026989.1840000008,26989.184000000823,2.6989184000000823,0.0,0.0
KQ.m@SHFE.hc,1000000.0,974575.6219999993,-25424.378000000725,-2.5424378000000725,-3990.0,213.57
KQ.m@SHFE.sp,1000000.0,964119.5360000001,-35880.46399999992,-3.5880463999999916,0.0,0.0
KQ.m@SHFE.ss,1000000.0,975655.48,-24344.52000000002,-2.434452000000002,0.0,0.0
KQ.m@DCE.i,1000000.0,984507.8500000011,-15492.14999999886,-1.549214999999886,0.0,0.0
KQ.m@DCE.j,1000000.0,951058.5279999981,-48941.47200000193,-4.894147200000193,-7200.0,61.056
KQ.m@DCE.jm,1000000.0,428712.67360000004,-571287.3263999999,-57.12873263999999,0.0,0.0
KQ.m@DCE.a,1000000.0,1059588.0,59588.0,5.9588,0.0,0.0
KQ.m@DCE.b,1000000.0,996148.0,-3852.0,-0.3852,1540.0,44.0
KQ.m@DCE.m,1000000.0,1034527.0,34527.0,3.4527,-4800.0,90.0
KQ.m@DCE.y,1000000.0,1009980.0,9980.0,0.9979999999999999,0.0,0.0
KQ.m@DCE.p,1000000.0,1010625.0,10625.0,1.0625,0.0,0.0
