symbol,initial_balance,final_balance,profit,return_rate,close_profit,commission
KQ.m@SHFE.rb,1000000,984463.7440000004,-15536.255999999586,-1.5536255999999586,0.0,0.0
KQ.m@SHFE.cu,1000000,1009347.5500000003,9347.55000000028,0.9347550000000279,0.0,0.0
KQ.m@SHFE.al,1000000,948728.0,-51272.0,-5.1272,0.0,0.0
KQ.m@SHFE.zn,1000000,1032069.0,32069.0,3.2069,0.0,0.0
KQ.m@SHFE.pb,1000000,999193.872,-806.1280000000261,-0.08061280000000261,0.0,0.0
KQ.m@SHFE.ni,1000000,976192.0,-23808.0,-2.3808,0.0,0.0
KQ.m@SHFE.sn,1000000,1065460.0,65460.0,6.546,0.0,0.0
KQ.m@SHFE.au,1000000,922760.0000000001,-77239.99999999988,-7.723999999999988,0.0,0.0
KQ.m@SHFE.ag,1000000,1032890.395,32890.39500000002,3.2890395000000017,0.0,0.0
KQ.m@SHFE.ru,1000000,1003100.6079999991,3100.607999999076,0.3100607999999076,0.0,0.0
KQ.m@SHFE.fu,1000000,1082436.9500000002,82436.95000000019,8.243695000000018,0.0,0.0
KQ.m@SHFE.bu,1000000,923051.5240000002,-76948.47599999979,-7.69484759999998,0.0,0.0
KQ.m@SHFE.hc,1000000,998658.1000000006,-1341.8999999994412,-0.13418999999994413,0.0,0.0
KQ.m@SHFE.sp,1000000,1010766.7699999998,10766.769999999786,1.0766769999999786,0.0,0.0
KQ.m@SHFE.ss,1000000,1006659.3600000001,6659.360000000102,0.6659360000000103,0.0,0.0
KQ.m@DCE.i,1000000,1033609.0399999998,33609.039999999804,3.3609039999999806,0.0,0.0
KQ.m@DCE.j,1000000,991833.5559999999,-8166.444000000134,-0.8166444000000134,0.0,0.0
KQ.m@DCE.jm,1000000,980380.4277999994,-19619.572200000635,-1.9619572200000637,0.0,0.0
KQ.m@DCE.a,1000000,995042.0,-4958.0,-0.49579999999999996,0.0,0.0
KQ.m@DCE.b,1000000,960321.0,-39679.0,-3.9678999999999998,0.0,0.0
KQ.m@DCE.m,1000000,969083.0,-30917.0,-3.0917,0.0,0.0
KQ.m@DCE.y,1000000,991360.0,-8640.0,-0.864,0.0,0.0
KQ.m@DCE.p,1000000,1030750.0,30750.0,3.075,0.0,0.0
KQ.m@DCE.c,1000000,988819.1999999997,-11180.80000000028,-1.118080000000028,0.0,0.0
KQ.m@DCE.cs,1000000,973753.0,-26247.0,-2.6247,0.0,0.0
KQ.m@DCE.l,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.v,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.pp,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eg,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@DCE.eb,1000000,1009788.0,9788.0,0.9788,0.0,0.0
KQ.m@DCE.pg,1000000,974660.0,-25340.0,-2.5340000000000003,0.0,0.0
KQ.m@DCE.jd,1000000,948696.8380000002,-51303.16199999978,-5.130316199999978,0.0,0.0
KQ.m@DCE.lh,1000000,982118.4000000004,-17881.599999999627,-1.7881599999999627,0.0,0.0
KQ.m@CZCE.SR,1000000,1012104.0,12104.0,1.2104,0.0,0.0
KQ.m@CZCE.CF,1000000,984952.5999999996,-15047.400000000373,-1.5047400000000373,0.0,0.0
KQ.m@CZCE.TA,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.MA,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.FG,1000000,995864.0,-4136.0,-0.41359999999999997,0.0,0.0
KQ.m@CZCE.RM,1000000,994225.0,-5775.0,-0.5775,0.0,0.0
KQ.m@CZCE.OI,1000000,991398.0,-8602.0,-0.8602000000000001,0.0,0.0
KQ.m@CZCE.SM,1000000,1005404.0,5404.0,0.5404,0.0,0.0
KQ.m@CZCE.SF,1000000,972402.0,-27598.0,-2.7598000000000003,0.0,0.0
KQ.m@CZCE.UR,1000000,994440.0,-5560.0,-0.5559999999999999,0.0,0.0
KQ.m@CZCE.SA,1000000,1064477.0,64477.0,6.447700000000001,0.0,0.0
KQ.m@CZCE.PK,1000000,984768.0,-15232.0,-1.5232,0.0,0.0
KQ.m@CZCE.AP,1000000,1000000.0,0.0,0.0,0.0,0.0
KQ.m@CZCE.CJ,1000000,985314.0,-14686.0,-1.4686,0.0,0.0
KQ.m@INE.sc,1000000,976260.0000000001,-23739.999999999884,-2.373999999999988,0.0,0.0
KQ.m@INE.lu,1000000,1494142.8033,494142.8033,49.414280330000004,0.0,0.0
KQ.m@CFFEX.IF,1000000,945848.8976800003,-54151.102319999714,-5.4151102319999715,0.0,0.0
KQ.m@CFFEX.IC,1000000,1104699.4194400015,104699.41944000148,10.469941944000148,0.0,0.0
KQ.m@CFFEX.IH,1000000,1027637.2093600001,27637.209360000095,2.7637209360000097,0.0,0.0
KQ.m@CFFEX.IM,1000000,1039624.2101199985,39624.21011999855,3.9624210119998544,0.0,0.0
KQ.m@CFFEX.T,1000000,1004256.0000000057,4256.000000005704,0.4256000000005704,0.0,0.0
KQ.m@CFFEX.TF,1000000,994456.0000000015,-5543.999999998487,-0.5543999999998487,0.0,0.0
KQ.m@CFFEX.TS,1000000,1002156.0000000026,2156.000000002561,0.21560000000025611,0.0,0.0
